Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Kenon,26,PF,14,557,17.4,.468,.182,10.1,18.5,14.3,11.0,1.6,0.1,9.5,24.3,0.6,0.5,1.1,.095,1.7,-1.5,0.2,0.3,
2,George Gervin,26,SF,14,513,25.4,.587,.353,6.3,9.6,7.9,11.3,2.4,1.4,10.5,28.8,1.9,0.4,2.3,.216,6.3,0.4,6.7,1.1,
3,James Silas,29,PG,14,475,17.7,.534,.372,2.5,6.3,4.4,19.9,2.0,0.1,12.6,23.4,0.9,0.2,1.1,.116,2.0,-0.7,1.4,0.4,
4,Mark Olberding,22,PF,14,359,8.9,.465,.359,3.3,15.9,9.6,11.5,1.5,0.7,19.6,16.0,-0.1,0.3,0.2,.021,-3.3,0.0,-3.3,-0.1,
5,Mike Green,27,C,14,350,11.7,.446,.184,9.9,10.9,10.4,4.0,1.7,5.2,12.7,15.7,0.0,0.4,0.4,.056,-2.3,1.1,-1.2,0.1,
6,Mike Gale,28,SG,14,302,13.6,.491,.253,3.3,6.3,4.8,23.5,2.4,0.7,14.2,14.5,0.4,0.2,0.6,.091,-0.1,0.7,0.6,0.2,
7,Billy Paultz,30,C,13,299,12.6,.434,.413,7.9,24.8,16.3,12.3,0.6,2.2,12.9,14.1,0.1,0.3,0.5,.076,-0.5,0.4,0.0,0.1,
8,Coby Dietrick,30,C,14,281,10.7,.448,.091,9.1,13.9,11.5,11.9,2.0,0.5,16.4,15.1,0.0,0.2,0.3,.043,-1.6,-0.1,-1.7,0.0,
9,Allan Bristow,27,SF,13,163,15.3,.481,.429,7.3,9.2,8.2,21.7,2.5,1.6,15.9,16.5,0.2,0.1,0.3,.097,1.6,1.3,2.9,0.2,
10,Louie Dampier,34,PG,7,55,16.1,.585,.500,1.8,7.3,4.5,18.9,2.5,0.9,5.5,12.8,0.2,0.0,0.2,.170,0.6,2.5,3.1,0.1,
11,Glenn Mosley,23,PF,3,6,34.7,.579,1.000,0.0,16.7,8.3,28.7,0.0,8.5,0.0,27.9,0.0,0.0,0.0,.287,11.7,6.2,17.9,0.0,
