Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Kenon,26,PF,81,2947,19.8,.547,.235,9.6,18.2,14.1,15.4,2.3,0.3,15.5,24.9,4.7,4.1,8.8,.144,2.5,-0.3,2.2,3.1,AS
2,George Gervin,26,SF,80,2888,23.2,.591,.326,5.4,9.0,7.3,11.5,2.1,1.6,12.5,30.0,8.1,3.2,11.4,.189,4.0,-0.3,3.7,4.1,"MVP-2,AS,NBA1"
3,James Silas,29,PG,79,2171,16.0,.576,.436,1.8,6.9,4.4,16.2,1.5,0.5,15.3,22.6,4.0,1.7,5.7,.126,0.3,-0.9,-0.6,0.8,
4,Billy Paultz,30,C,79,2122,15.5,.541,.256,8.7,21.8,15.5,10.5,0.7,2.9,15.7,17.8,2.1,2.9,5.1,.114,0.3,0.5,0.7,1.5,
5,Mike Gale,28,SG,82,2121,12.3,.500,.176,2.1,7.0,4.6,20.6,3.1,0.9,18.8,14.5,1.0,2.6,3.6,.082,-1.1,1.6,0.6,1.4,
6,Mark Olberding,22,PF,80,1885,12.4,.556,.526,5.6,17.9,12.0,13.1,1.2,0.5,19.4,16.9,2.0,2.2,4.2,.106,-1.4,0.1,-1.3,0.3,
7,Mike Green,27,C,76,1641,12.9,.528,.302,8.7,13.8,11.3,8.3,1.0,3.7,14.1,14.5,1.8,2.0,3.8,.112,-0.8,1.0,0.2,0.9,
8,Coby Dietrick,30,C,76,1487,13.9,.560,.248,6.5,15.5,11.1,15.7,2.1,1.3,17.2,13.6,2.1,2.0,4.1,.133,0.3,1.6,1.9,1.5,
9,Allan Bristow,27,SF,74,1324,14.2,.562,.421,6.6,12.8,9.8,20.3,1.8,0.6,20.5,15.1,2.0,1.5,3.5,.126,0.5,0.7,1.2,1.1,
10,Louie Dampier,34,PG,70,760,13.3,.513,.155,2.2,6.4,4.4,19.7,2.0,0.5,12.7,15.3,0.9,0.7,1.6,.098,0.0,0.2,0.3,0.4,
11,Frankie Sanders,22,SF,22,263,11.8,.455,.323,5.4,17.7,11.8,16.6,2.3,0.6,18.1,25.5,-0.2,0.4,0.1,.024,-3.5,-0.2,-3.6,-0.1,
12,Glenn Mosley,23,PF,26,221,12.2,.463,.507,13.4,17.0,15.2,10.1,1.6,2.3,17.9,19.1,0.0,0.3,0.3,.068,-2.5,0.0,-2.6,0.0,
