Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Randy Smith,30,SG,82,82,3111,16.6,.499,.236,3.5,6.6,5.0,17.6,2.6,0.1,13.2,23.6,4.5,1.3,5.8,.089,0.9,-0.8,0.0,1.6,
2,World B. Free,25,PG,78,,2954,22.1,.552,.523,4.6,6.3,5.4,17.1,1.7,0.6,12.7,29.9,9.4,0.7,10.1,.164,4.4,-1.5,2.9,3.7,"MVP-6,NBA2"
3,Kermit Washington,27,PF,82,,2764,15.0,.603,.530,11.4,19.4,15.4,5.5,1.4,2.2,19.4,13.1,4.6,2.3,6.9,.120,0.8,0.1,0.9,2.0,
4,Nick Weatherspoon,28,SF,82,,2642,12.7,.514,.238,7.2,11.1,9.1,6.7,1.4,0.7,14.3,18.5,2.8,1.0,3.7,.068,-0.4,-1.3,-1.7,0.2,
5,Sidney Wicks,29,PF,79,,2022,11.1,.497,.334,8.4,13.0,10.7,7.9,1.6,0.9,18.8,17.9,0.5,1.0,1.5,.037,-1.6,-0.9,-2.6,-0.3,
6,Swen Nater,29,C,79,,2006,16.9,.605,.263,11.5,25.6,18.6,9.1,0.9,0.7,19.5,16.4,3.9,1.6,5.5,.133,1.4,-0.8,0.6,1.3,
7,Kevin Kunnert,27,C,81,,1684,12.8,.487,.170,12.7,23.2,18.0,8.3,1.2,3.5,20.8,15.3,0.5,1.8,2.3,.066,-1.9,0.6,-1.3,0.3,
8,Freeman Williams,22,SG,72,,1195,16.1,.514,.143,4.3,4.5,4.4,10.5,1.6,0.1,12.0,26.2,1.7,0.1,1.8,.072,0.6,-2.2,-1.5,0.1,
9,Bob Bigelow,25,SF,29,,413,6.0,.428,.233,3.9,8.0,5.9,7.1,1.3,0.2,15.4,10.8,0.0,0.1,0.0,.003,-2.7,-0.6,-3.3,-0.1,
10,Connie Norman,25,SG,22,,323,11.9,.460,.139,4.3,6.3,5.3,10.3,1.4,0.5,11.2,23.1,0.2,0.1,0.2,.032,-1.8,-1.7,-3.6,-0.1,
11,Brian Taylor,27,PG,20,,212,11.1,.418,.217,6.5,6.5,6.5,11.8,5.1,0.0,15.8,19.3,-0.1,0.2,0.1,.032,-3.8,1.9,-1.9,0.0,
12,John Olive,23,SF,34,,189,2.0,.439,.575,1.7,9.0,5.3,1.8,1.0,0.0,20.6,12.7,-0.2,0.0,-0.2,-0.038,-5.5,-1.0,-6.5,-0.3,
13,Jerome Whitehead,22,C,31,,152,8.4,.453,.529,11.2,23.8,17.5,5.5,0.9,1.3,20.8,13.2,0.0,0.1,0.1,.026,-3.6,-0.5,-4.1,-0.1,
14,Stan Pietkiewicz,22,SG,4,,32,1.6,.225,.250,0.0,20.0,10.0,10.3,1.4,0.0,10.1,11.7,-0.1,0.0,0.0,-0.060,-4.7,-0.1,-4.7,0.0,
15,Scott Lloyd,26,C,5,,31,-13.2,.000,.000,3.4,6.9,5.1,0.0,1.5,0.0,80.0,12.2,-0.2,0.0,-0.2,-0.363,-6.2,-0.5,-6.6,-0.1,
