Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dennis Johnson,24,SG,17,681,18.1,.509,.361,7.0,9.8,8.4,15.3,2.0,2.1,12.7,23.6,1.3,0.9,2.2,.153,3.4,0.4,3.8,1.0,Finals MVP-1
2,Jack Sikma,23,C,17,655,15.3,.502,.272,6.5,27.1,16.7,9.3,1.2,2.0,13.8,17.8,0.7,1.1,1.8,.135,0.7,0.6,1.4,0.6,
3,Gus Williams,25,PG,17,619,23.8,.518,.332,6.3,6.1,6.2,17.9,2.6,1.0,8.8,31.1,2.0,0.7,2.7,.210,6.2,0.5,6.7,1.3,
4,John Johnson,31,SF,17,615,12.4,.509,.366,7.1,13.5,10.3,20.3,1.3,0.3,24.2,17.5,0.2,0.6,0.8,.063,0.6,-0.7,-0.1,0.3,
5,Lonnie Shelton,23,PF,17,566,15.0,.499,.124,11.7,15.9,13.8,8.8,1.6,1.7,12.3,17.8,0.8,0.8,1.6,.134,1.0,0.1,1.1,0.4,
6,Paul Silas,35,PF,17,418,6.8,.492,.852,10.4,15.4,12.9,5.6,1.0,0.6,31.4,10.4,-0.2,0.5,0.3,.034,-2.1,-0.6,-2.7,-0.1,
7,Fred Brown,30,PG,17,260,16.6,.475,.120,3.4,6.0,4.7,21.8,1.7,0.8,9.7,25.5,0.4,0.2,0.6,.119,2.0,-0.8,1.2,0.2,
8,Dennis Awtrey,30,C,16,153,10.1,.645,.813,10.7,19.6,15.1,9.0,1.6,1.4,29.3,8.0,0.2,0.2,0.4,.124,-1.6,1.8,0.2,0.1,
9,Dick Snyder,34,SG,9,88,8.2,.372,.290,2.5,11.3,6.9,15.1,2.2,1.9,16.7,19.1,-0.1,0.1,0.0,-0.004,-2.9,0.5,-2.4,0.0,
10,Wally Walker,24,SF,13,85,2.2,.394,.250,9.0,13.1,11.0,3.0,0.0,0.0,18.4,10.3,0.0,0.1,0.0,.010,-5.5,-1.9,-7.3,-0.1,
11,Joe Hassett,23,SG,8,15,4.7,.429,.000,0.0,7.4,3.7,10.0,0.0,0.0,22.2,24.0,0.0,0.0,0.0,-0.109,-3.9,-4.4,-8.3,0.0,
