Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bob Dandridge,31,SF,19,787,19.1,.527,.299,5.5,12.4,8.9,21.4,0.9,1.0,12.4,23.8,1.8,0.6,2.5,.150,4.2,0.4,4.6,1.3,
2,Elvin Hayes,33,PF,19,786,19.2,.471,.328,11.5,22.6,16.8,7.7,1.1,3.4,11.0,25.5,0.8,1.2,2.0,.123,2.0,0.3,2.4,0.9,
3,Wes Unseld,32,C,19,736,15.4,.524,.405,11.8,22.8,17.1,11.8,1.1,1.0,13.9,11.6,1.2,1.0,2.2,.141,2.0,1.3,3.2,1.0,
4,Tom Henderson,27,PG,19,559,10.2,.419,.297,2.6,3.7,3.1,26.2,1.5,0.6,16.8,16.7,0.0,0.3,0.3,.022,-0.9,-0.6,-1.5,0.1,
5,Kevin Grevey,25,SF,19,527,9.6,.437,.207,4.7,4.3,4.5,8.8,1.4,0.7,12.5,23.8,-0.2,0.3,0.0,.004,-2.2,-1.0,-3.2,-0.2,
6,Larry Wright,24,PG,18,331,13.7,.531,.233,3.5,4.1,3.8,20.2,1.5,0.6,16.0,20.1,0.5,0.2,0.6,.093,-0.1,0.2,0.1,0.2,
7,Greg Ballard,24,SF,19,312,18.3,.575,.406,10.5,19.2,14.7,8.1,1.4,1.0,14.4,17.5,0.7,0.4,1.1,.164,2.8,0.8,3.6,0.4,
8,Charles Johnson,29,SG,18,275,5.4,.349,.109,4.5,7.9,6.2,10.9,0.5,0.6,8.1,19.4,-0.3,0.1,-0.2,-0.035,-4.9,-1.1,-6.1,-0.3,
9,Mitch Kupchak,24,PF,8,137,11.9,.444,.288,11.2,13.6,12.3,3.2,0.7,0.0,7.9,18.3,0.1,0.1,0.2,.073,-0.2,-2.0,-2.1,0.0,
10,Phil Chenier,28,SG,9,97,-1.4,.246,.239,3.0,5.3,4.1,12.5,1.5,0.0,10.6,23.0,-0.4,0.1,-0.4,-0.179,-9.5,-2.2,-11.7,-0.2,
11,Dave Corzine,22,C,12,63,7.8,.267,.000,18.3,21.3,19.7,10.2,1.5,0.0,21.1,11.9,-0.1,0.1,0.0,.003,-2.6,-0.6,-3.2,0.0,
