Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,33,PF,82,3105,19.1,.523,.362,10.3,22.0,16.2,6.3,1.1,3.0,12.1,23.9,4.5,4.9,9.4,.146,1.0,0.2,1.2,2.5,"MVP-3,AS,NBA1"
2,Bob Dandridge,31,SF,78,2629,19.0,.553,.318,4.3,12.9,8.6,19.1,1.2,1.1,13.4,24.1,5.8,2.8,8.7,.158,2.6,0.4,3.0,3.4,"MVP-5,AS,NBA2"
3,Wes Unseld,32,C,77,2406,17.8,.599,.392,11.7,23.2,17.5,15.9,1.3,0.8,18.2,13.6,5.3,3.5,8.7,.174,2.8,1.5,4.3,3.8,
4,Tom Henderson,27,PG,70,2081,13.9,.519,.304,2.5,5.4,4.0,24.5,1.9,0.2,16.9,16.1,2.7,1.8,4.5,.103,0.4,0.1,0.4,1.3,
5,Kevin Grevey,25,SF,65,1856,14.0,.494,.243,5.0,7.7,6.3,11.1,1.1,0.4,10.5,23.5,1.9,1.5,3.4,.087,-0.3,-1.1,-1.4,0.3,
6,Charles Johnson,29,SG,82,1819,12.0,.458,.101,4.0,7.3,5.6,12.5,2.4,0.2,9.6,19.1,0.9,1.9,2.8,.074,-1.9,0.8,-1.2,0.4,
7,Larry Wright,24,PG,73,1658,13.7,.511,.285,3.0,5.6,4.3,22.5,1.9,0.4,15.2,18.0,2.0,1.5,3.5,.101,-0.3,0.2,-0.1,0.8,
8,Mitch Kupchak,24,PF,66,1604,19.4,.588,.438,9.7,17.4,13.6,7.5,0.6,0.7,12.8,22.3,4.2,1.7,5.9,.178,2.6,-0.8,1.9,1.6,
9,Greg Ballard,24,SF,82,1552,14.9,.503,.308,9.5,19.8,14.7,9.4,1.7,1.0,13.3,18.0,1.7,2.2,3.9,.120,0.0,0.7,0.7,1.1,
10,Dave Corzine,22,C,59,532,12.5,.600,.534,10.0,17.9,14.0,10.9,0.8,1.3,26.7,14.3,0.5,0.6,1.1,.102,-0.9,0.8,-0.1,0.3,
11,Phil Chenier,28,SG,27,385,7.2,.458,.177,0.8,4.4,2.6,10.2,0.5,0.6,15.4,20.0,-0.3,0.2,-0.1,-0.014,-3.5,-1.7,-5.2,-0.3,
12,Roger Phegley,22,SG,29,153,9.8,.441,.372,3.4,11.1,7.3,12.5,1.5,0.6,15.8,26.9,-0.2,0.2,0.0,.001,-4.2,-0.6,-4.8,-0.1,
