Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Eddie Johnson,24,SG,5,188,18.8,.562,.000,.378,1.7,9.4,5.3,20.1,2.1,0.7,11.3,22.2,0.4,0.1,0.5,.131,3.1,0.8,3.9,0.3,
2,Dan Roundfield,26,PF,5,174,20.0,.509,.014,.507,15.1,22.4,18.5,11.0,1.2,3.0,11.5,23.6,0.3,0.2,0.5,.134,3.0,-0.4,2.6,0.2,
3,Charlie Criss,31,PG,5,152,15.0,.544,.051,.203,0.0,3.9,1.8,25.5,2.0,0.0,14.6,21.3,0.2,0.0,0.2,.074,1.5,-0.4,1.0,0.1,
4,John Drew,25,SF,5,150,12.2,.466,.000,.556,7.0,15.8,11.1,4.5,2.4,0.0,13.3,25.9,-0.1,0.1,0.1,.024,-2.1,-1.1,-3.3,0.0,
5,Steve Hawes,29,PF,5,149,15.6,.531,.000,.439,9.1,17.5,13.1,12.6,3.1,0.4,14.1,16.4,0.2,0.2,0.4,.130,1.0,1.5,2.5,0.2,
6,Tree Rollins,24,C,5,134,16.0,.593,.000,.323,14.1,17.6,15.8,3.6,0.8,6.8,14.5,13.3,0.2,0.1,0.4,.137,0.2,1.4,1.7,0.1,
7,Armond Hill,26,PG,5,109,8.7,.496,.033,.400,1.9,4.3,3.1,21.2,1.9,0.6,23.8,18.2,-0.1,0.0,0.0,-0.011,-2.7,-0.7,-3.4,0.0,
8,John Brown,28,SF,5,58,0.6,.360,.077,.154,3.6,16.3,9.6,2.5,0.9,1.1,26.5,14.0,-0.2,0.0,-0.1,-0.103,-7.2,-1.1,-8.3,-0.1,
9,Jack Givens,23,SF,4,36,-2.5,.214,.000,.000,2.9,13.1,7.7,12.3,2.8,0.0,17.6,20.3,-0.2,0.0,-0.2,-0.213,-10.1,-1.0,-11.1,-0.1,
10,Jim McElroy,26,PG,5,32,12.2,.536,.111,.556,3.3,3.7,3.5,19.7,0.0,0.0,15.2,17.7,0.0,0.0,0.0,.053,1.6,-2.2,-0.6,0.0,
11,Sam Pellom,28,PF,4,18,-4.2,.116,.000,1.000,0.0,0.0,0.0,7.3,0.0,3.6,0.0,10.3,-0.1,0.0,-0.1,-0.158,-7.7,-1.2,-8.8,0.0,
