Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Moses Malone,24,C,7,275,24.9,.577,.007,.312,17.6,23.1,20.3,4.3,0.7,3.4,12.3,27.3,0.8,0.1,0.9,.159,4.6,-1.0,3.6,0.4,
2,Robert Reid,24,SF,7,266,16.7,.555,.010,.255,6.1,17.8,11.9,14.8,1.1,1.5,14.3,20.9,0.5,0.0,0.5,.087,1.1,0.7,1.8,0.3,
3,Calvin Murphy,31,SG,7,265,14.9,.576,.037,.120,1.7,2.6,2.2,15.4,2.1,0.0,12.3,20.5,0.5,-0.1,0.4,.077,-0.1,0.3,0.2,0.1,
4,Tom Henderson,28,PG,7,203,13.5,.532,.022,.326,2.8,6.3,4.5,27.6,1.7,1.1,17.3,13.1,0.3,0.0,0.3,.068,0.4,1.1,1.5,0.2,
5,Rudy Tomjanovich,31,PF,7,185,6.4,.416,.109,.203,7.5,17.5,12.5,7.4,0.5,0.0,16.7,19.0,-0.2,0.0,-0.3,-0.067,-4.7,-1.8,-6.5,-0.2,
6,Allen Leavell,22,PG,7,149,9.8,.413,.105,.553,1.5,7.7,4.6,20.4,2.0,0.0,11.3,15.0,0.1,0.0,0.1,.019,-2.8,0.6,-2.2,0.0,
7,Billy Paultz,31,C,7,128,5.1,.348,.000,.175,10.8,18.9,14.9,8.3,0.4,1.4,20.3,17.7,-0.3,0.0,-0.3,-0.108,-5.5,-1.4,-7.0,-0.2,
8,Rick Barry,35,SF,6,79,8.3,.463,.364,.182,0.0,8.8,4.4,26.9,0.6,0.7,21.9,24.2,-0.1,0.0,-0.1,-0.067,-2.9,-1.2,-4.1,0.0,
9,Major Jones,26,PF,6,70,17.2,.638,.000,.500,13.2,23.1,18.1,8.2,0.0,1.7,15.4,15.6,0.2,0.0,0.2,.124,1.6,-0.1,1.5,0.1,
10,Mike Dunleavy,25,PG,6,45,17.3,.581,.167,.500,5.1,7.7,6.4,39.9,5.5,0.0,29.1,19.2,0.1,0.0,0.1,.099,-0.9,5.1,4.1,0.1,
11,Alonzo Bradley,26,SF,4,15,42.2,.714,.111,.556,7.7,15.4,11.5,14.6,3.3,0.0,0.0,31.3,0.1,0.0,0.1,.411,15.0,5.5,20.5,0.1,
