Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Marques Johnson,23,SF,77,2686,22.0,.585,.007,.290,9.0,13.7,11.4,15.1,1.7,1.4,11.5,23.9,8.0,3.5,11.5,.206,4.6,0.4,5.1,4.8,"AS,NBA2"
2,Brian Winters,27,SG,80,2623,14.8,.534,.091,.192,2.0,7.0,4.6,19.0,1.8,0.6,13.3,21.1,3.6,2.6,6.2,.113,0.3,-0.2,0.2,1.4,
3,Junior Bridgeman,26,SF,81,2316,17.1,.523,.022,.214,5.0,9.0,7.1,15.2,1.9,0.5,11.2,26.3,3.6,2.5,6.1,.127,0.9,-0.5,0.3,1.4,
4,Dave Meyers,26,PF,79,2204,13.3,.509,.006,.296,7.1,14.7,11.0,13.6,1.5,1.0,16.2,20.2,1.0,2.8,3.9,.084,-0.8,0.0,-0.8,0.7,
5,Quinn Buckner,25,PG,67,1690,16.5,.501,.008,.218,4.6,10.5,7.6,30.2,3.7,0.1,17.2,20.4,1.7,2.7,4.4,.125,-0.2,1.9,1.7,1.6,
6,Sidney Moncrief,22,SG,77,1557,15.9,.564,.002,.647,11.1,12.5,11.8,10.7,2.2,0.6,16.8,17.8,2.8,2.0,4.9,.150,1.4,0.2,1.5,1.4,
7,Kent Benson,25,C,56,1389,13.3,.519,.002,.225,7.7,18.0,13.0,11.8,1.8,2.9,18.3,16.6,0.6,2.3,2.9,.100,-1.4,1.8,0.5,0.9,
8,Harvey Catchings,28,C,72,1366,10.9,.429,.004,.254,13.4,19.0,16.3,7.0,0.8,6.5,20.0,9.9,0.2,2.4,2.6,.090,-2.4,2.6,0.1,0.7,
9,Lloyd Walton,26,PG,76,1243,9.6,.494,.012,.293,3.0,4.9,4.0,27.2,1.6,0.1,29.1,12.3,0.1,1.0,1.1,.041,-1.5,-0.9,-2.4,-0.1,
10,Richard Washington,24,PF,75,1092,12.3,.484,.000,.181,9.7,17.5,13.7,6.7,1.1,2.4,12.2,18.8,0.5,1.6,2.0,.089,-2.5,-0.1,-2.6,-0.2,
11,Pat Cummings,23,C,71,900,15.3,.552,.000,.332,10.1,18.4,14.4,8.2,1.1,1.0,14.9,22.0,1.2,1.2,2.5,.131,-1.0,-0.6,-1.6,0.1,
12,Bob Lanier,31,C,26,739,20.5,.589,.004,.509,6.7,19.3,13.2,11.5,2.3,2.2,12.4,21.2,1.9,1.3,3.2,.209,2.6,1.8,4.4,1.2,
