Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Calvin Natt,23,SF,3,125,10.3,.458,.042,.208,7.9,14.1,10.9,2.4,0.8,0.5,16.0,21.4,-0.1,0.0,-0.1,-0.021,-1.9,-1.9,-3.8,-0.1,
2,Kermit Washington,28,PF,3,121,13.6,.525,.038,.308,10.9,18.4,14.6,6.7,0.4,1.9,11.9,11.9,0.2,0.1,0.2,.099,1.1,0.0,1.1,0.1,
3,Ron Brewer,24,SG,3,106,11.5,.439,.049,.148,1.0,2.2,1.6,9.4,1.4,0.5,9.7,29.1,-0.1,0.0,-0.1,-0.035,-2.3,-1.7,-4.0,-0.1,
4,Billy Ray Bates,23,SG,3,104,21.8,.576,.119,.237,2.1,9.0,5.5,21.1,2.5,0.6,18.7,33.1,0.2,0.1,0.2,.105,3.3,0.8,4.1,0.2,
5,Tom Owens,30,C,3,83,15.4,.559,.000,.308,17.3,11.3,14.4,3.6,0.6,1.4,14.5,17.9,0.2,0.0,0.2,.111,0.6,-1.1,-0.5,0.0,
6,Jim Brewer,28,PF,3,67,22.8,.928,.000,.300,9.9,17.5,13.6,6.4,3.8,1.7,8.1,7.9,0.3,0.1,0.4,.265,5.5,4.3,9.8,0.2,
7,Bob Gross,26,SF,3,51,6.3,.515,.000,.667,2.2,6.9,4.5,10.0,1.0,0.0,20.5,12.3,0.0,0.0,0.0,.023,-4.0,0.0,-4.0,0.0,
8,Jim Paxson,22,SG,3,44,11.8,.429,.000,.375,0.0,10.7,5.2,9.3,2.3,1.3,9.7,20.1,0.0,0.0,0.0,.027,-2.0,1.3,-0.6,0.0,
9,T.R. Dunn,24,SG,3,24,9.7,.338,.000,.250,4.6,14.7,9.5,21.9,2.1,0.0,10.1,17.7,0.0,0.0,0.0,.004,-2.2,1.1,-1.1,0.0,
10,Dave Twardzik,29,PG,2,20,2.7,.250,.000,.000,5.5,17.6,11.4,12.6,5.1,0.0,42.9,15.0,-0.1,0.0,-0.1,-0.159,-8.3,3.1,-5.2,0.0,
