Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,George Gervin,27,SG,78,2934,24.0,.587,.053,.306,5.7,8.9,7.3,11.0,1.6,1.4,10.3,31.7,9.3,1.3,10.6,.173,5.5,-1.6,3.9,4.4,"MVP-3,AS,NBA1"
2,Larry Kenon,27,PF,78,2798,17.2,.527,.007,.259,10.1,19.4,14.8,11.1,1.7,0.3,13.5,23.2,3.4,2.0,5.4,.093,1.1,-1.6,-0.4,1.1,
3,James Silas,30,PG,77,2293,16.7,.585,.004,.382,2.1,5.6,3.9,20.1,1.2,0.3,14.1,22.4,5.3,0.2,5.5,.116,1.4,-1.9,-0.5,0.9,
4,Mark Olberding,23,SF,75,2111,12.4,.546,.005,.433,4.3,16.7,10.6,18.5,1.4,0.5,19.9,16.2,1.9,1.2,3.1,.071,-0.8,-0.2,-1.0,0.5,
5,Kevin Restani,28,SF,82,1966,13.9,.548,.040,.221,7.9,13.0,10.5,12.2,1.2,0.3,13.9,17.8,2.7,0.7,3.5,.085,0.5,-1.4,-0.9,0.5,
6,Paul Griffin,26,C,82,1812,13.2,.621,.000,.767,9.3,16.5,12.9,15.7,2.0,1.5,23.8,11.5,2.9,1.5,4.4,.116,-0.1,1.4,1.3,1.5,
7,Mike Gale,29,PG,67,1474,13.3,.513,.034,.318,2.5,8.4,5.5,24.6,3.7,0.5,21.1,14.0,1.0,1.2,2.2,.073,-0.9,1.4,0.6,1.0,
8,Mike Evans,24,SG,79,1246,9.8,.485,.091,.183,2.5,6.6,4.6,22.8,2.1,0.4,20.3,19.1,-0.4,0.5,0.1,.004,-2.9,-1.1,-4.0,-0.6,
9,Billy Paultz,31,C,47,1213,14.7,.522,.003,.262,8.5,19.6,14.2,11.9,1.7,1.9,12.0,15.1,1.6,1.1,2.6,.104,0.6,0.5,1.1,1.0,
10,John Shumate,27,PF,27,777,18.0,.597,.004,.559,9.1,20.1,14.7,8.4,1.3,2.0,13.2,18.4,1.8,0.6,2.5,.152,1.8,-0.4,1.4,0.7,
11,Wiley Peck,22,SF,52,628,8.9,.466,.012,.325,11.5,19.6,15.6,6.1,1.2,1.9,19.9,14.5,-0.2,0.5,0.3,.023,-3.4,-0.9,-4.2,-0.4,
12,Irv Kiffin,28,SF,26,212,3.7,.383,.000,.260,6.2,13.9,10.1,10.9,2.1,0.5,21.9,24.5,-0.7,0.1,-0.6,-0.128,-7.1,-1.5,-8.6,-0.5,
13,Sylvester Norris,22,C,17,189,3.3,.438,.000,.140,5.8,18.3,12.2,3.6,0.7,3.3,29.4,12.9,-0.4,0.1,-0.2,-0.055,-6.1,-0.1,-6.2,-0.3,
14,Tim Bassett,28,PF,5,72,5.3,.375,.000,.250,6.1,16.0,11.1,15.1,1.8,0.0,27.3,9.6,-0.1,0.0,0.0,-0.005,-3.6,0.2,-3.4,0.0,
15,Harry Davis,24,SF,4,30,5.8,.505,.000,.167,7.3,14.0,10.7,0.0,1.5,0.0,18.9,20.0,0.0,0.0,0.0,-0.030,-4.6,-0.4,-5.1,-0.1,
