Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,34,PF,2,92,13.5,.441,.000,.244,11.3,14.4,12.8,9.7,0.0,2.4,8.1,22.0,0.0,0.0,0.0,.017,-0.6,-1.8,-2.5,0.0,
2,Wes Unseld,33,C,2,87,12.6,.541,.071,.429,8.4,26.6,17.3,10.5,0.0,1.9,15.3,9.2,0.1,0.0,0.1,.076,0.0,0.4,0.3,0.1,
3,Greg Ballard,25,SF,2,73,3.4,.354,.000,.250,2.9,18.1,10.3,13.3,0.7,0.8,20.5,21.9,-0.3,0.0,-0.3,-0.170,-7.2,-1.8,-9.0,-0.1,
4,Kevin Grevey,26,SF,2,72,21.0,.645,.333,.133,1.4,7.7,4.5,17.9,3.4,1.5,11.2,20.3,0.2,0.0,0.3,.168,4.4,3.2,7.6,0.2,
5,Kevin Porter,29,PG,2,49,9.6,.440,.063,.313,4.3,0.0,2.2,26.2,3.0,0.0,18.0,18.5,0.0,0.0,0.0,-0.039,-3.3,0.0,-3.2,0.0,
6,Larry Wright,25,PG,2,33,22.1,.573,.059,.294,3.2,3.3,3.3,31.8,4.4,0.0,13.5,27.5,0.1,0.0,0.1,.137,2.0,3.2,5.2,0.1,
7,John Williamson,28,SG,2,31,19.0,.664,.316,.158,3.4,3.6,3.5,6.6,0.0,0.0,16.4,32.1,0.1,0.0,0.0,.060,2.2,-1.9,0.3,0.0,
8,Jim Cleamons,30,PG,2,20,-2.4,.000,.000,.000,0.0,5.5,2.7,5.9,2.4,0.0,25.0,8.2,-0.1,0.0,-0.1,-0.199,-8.8,-0.8,-9.5,0.0,
9,Ron Behagen,29,PF,2,14,1.8,.286,.000,.000,7.5,7.9,7.7,30.6,0.0,0.0,12.5,23.4,0.0,0.0,-0.1,-0.174,-8.3,-1.0,-9.4,0.0,
10,Dave Corzine,23,C,2,9,29.5,.850,.000,.400,23.2,12.3,17.9,0.0,0.0,0.0,33.8,40.4,0.0,0.0,0.0,.063,1.9,-1.1,0.8,0.0,
