Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Artis Gilmore,31,C,6,247,20.7,.641,.000,.917,10.5,21.2,15.5,6.9,1.2,4.3,16.8,17.2,0.7,0.2,0.9,.174,3.3,1.4,4.7,0.4,
2,Reggie Theus,23,SG,6,232,18.6,.546,.100,.478,3.3,7.3,5.2,24.3,1.9,0.0,12.1,22.4,0.7,0.1,0.7,.152,2.8,0.1,2.9,0.3,
3,Dwight Jones,28,PF,6,217,13.5,.548,.000,.279,9.0,23.0,15.6,7.1,1.1,0.9,18.9,16.3,0.2,0.1,0.4,.079,-0.4,-0.1,-0.5,0.1,
4,Dave Greenwood,23,PF,6,212,19.8,.580,.023,.138,8.2,16.1,11.9,8.6,2.1,1.5,8.9,20.0,0.5,0.2,0.7,.160,2.8,0.9,3.7,0.3,
5,Ricky Sobers,28,PG,6,162,10.7,.465,.074,.111,2.0,6.0,3.9,21.5,1.2,0.0,15.0,25.9,0.0,0.0,0.0,-0.002,-3.2,-1.9,-5.0,-0.1,
6,Bob Wilkerson,26,SG,6,152,9.9,.449,.017,.085,4.3,8.0,6.0,13.5,1.6,0.4,15.2,19.9,-0.1,0.0,0.0,-0.002,-2.4,-0.6,-3.0,0.0,
7,Larry Kenon,28,SF,6,114,15.5,.404,.022,.174,16.1,10.7,13.6,10.2,1.7,0.5,2.0,18.6,0.2,0.0,0.2,.086,2.9,-1.2,1.8,0.1,
8,Coby Dietrick,32,C,6,81,4.9,.342,.115,.154,4.0,18.0,10.6,6.6,1.2,2.3,6.7,15.4,-0.1,0.1,0.0,-0.010,-6.4,0.7,-5.8,-0.1,
9,Ronnie Lester,22,PG,5,42,11.9,.451,.056,.389,12.9,2.9,8.2,14.0,2.4,0.0,19.2,26.1,0.0,0.0,0.0,-0.018,-1.2,-1.5,-2.8,0.0,
10,James Wilkes,22,SF,2,5,-6.6,.000,.000,.000,0.0,24.3,11.4,23.6,9.9,0.0,66.7,25.2,-0.1,0.0,-0.1,-0.541,-14.8,4.7,-10.2,0.0,
11,Sam Worthen,23,PG,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.020,-3.8,-1.6,-5.5,0.0,
