Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Alex English,27,SF,81,3093,19.7,.549,.003,.295,8.8,12.6,10.7,13.4,1.5,1.6,12.1,24.0,6.7,1.6,8.3,.129,3.1,-1.0,2.2,3.2,
2,Dan Issel,32,C,80,2641,21.7,.575,.010,.561,8.6,17.7,13.1,8.4,1.4,1.0,7.9,23.2,8.9,1.6,10.5,.190,3.7,-1.1,2.7,3.1,
3,David Thompson,26,SG,77,2620,19.4,.571,.027,.424,4.1,7.2,5.6,13.2,0.9,1.2,12.7,27.9,6.0,0.4,6.4,.117,3.0,-2.1,0.9,1.9,
4,Dave Robisch,31,C,73,1744,14.4,.515,.000,.329,7.4,17.0,12.1,9.5,0.8,0.8,8.6,17.1,2.9,0.7,3.6,.100,0.7,-1.3,-0.7,0.6,
5,Kenny Higgs,26,PG,72,1689,11.9,.511,.072,.363,1.4,7.5,4.4,29.3,2.6,0.2,23.2,15.7,0.7,0.9,1.5,.043,-1.9,-0.5,-2.4,-0.2,
6,Cedrick Hordges,24,PF,68,1599,10.7,.509,.006,.388,7.5,22.1,14.6,8.0,0.9,0.6,17.6,15.8,0.5,1.0,1.5,.044,-2.3,-1.0,-3.3,-0.5,
7,T.R. Dunn,25,SG,82,1427,10.2,.456,.006,.342,9.3,12.3,10.8,6.7,2.0,1.0,12.1,12.1,0.7,0.8,1.6,.052,-0.9,-0.1,-1.0,0.3,
8,Kiki Vandeweghe,22,SF,51,1376,11.9,.484,.013,.296,6.2,14.0,10.0,8.7,0.9,0.9,12.4,18.7,0.7,0.5,1.2,.040,-1.0,-1.7,-2.7,-0.3,
9,Billy McKinney,25,PG,49,1134,15.5,.554,.024,.340,2.1,7.9,4.9,23.3,2.4,0.3,15.7,18.4,1.8,0.5,2.3,.098,0.0,-0.2,-0.2,0.5,
10,Glen Gondrezick,25,PF,73,1077,16.3,.542,.006,.416,12.6,16.6,14.5,9.6,3.7,0.9,15.1,15.8,1.8,1.3,3.1,.136,0.3,1.4,1.7,1.0,
11,John Roche,31,PG,26,611,13.1,.543,.151,.430,0.8,5.5,3.1,28.2,1.2,0.7,19.6,16.1,0.7,0.1,0.8,.060,0.6,-2.0,-1.4,0.1,
12,Carl Nicks,22,PG,27,493,8.3,.472,.007,.396,2.6,7.6,5.1,19.9,2.5,0.2,26.5,17.9,-0.7,0.2,-0.4,-0.043,-3.8,-1.0,-4.8,-0.4,
13,Kim Hughes,28,C,8,159,10.3,.444,.000,.080,11.9,20.4,16.0,7.9,3.0,4.5,29.8,8.6,0.0,0.2,0.2,.057,-2.8,1.8,-1.1,0.1,
14,James Ray,23,PF,18,148,4.2,.346,.020,.204,8.8,17.0,12.8,8.8,1.2,1.4,19.6,16.7,-0.3,0.1,-0.2,-0.070,-5.4,-0.7,-6.1,-0.2,
15,Ronnie Valentine,23,SF,24,123,10.3,.395,.020,.194,8.1,17.0,12.4,8.8,2.5,1.7,13.1,36.9,-0.4,0.1,-0.3,-0.128,-5.6,-1.6,-7.2,-0.2,
16,Jawann Oldham,23,C,4,21,3.3,.333,.000,.000,14.2,10.0,12.1,0.0,0.0,4.8,25.0,14.1,0.0,0.0,0.0,-0.094,-4.6,-0.4,-5.0,0.0,
