Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Terry Tyler,24,SF,82,2549,17.2,.547,.009,.279,8.5,17.9,12.9,8.4,2.1,4.1,14.0,18.5,2.5,3.9,6.4,.121,0.7,1.6,2.3,2.8,
2,Phil Hubbard,24,PF,80,2289,15.4,.544,.003,.484,11.3,18.9,14.9,10.4,1.7,0.5,17.7,22.9,1.8,2.7,4.5,.094,-0.7,-0.7,-1.4,0.3,
3,Keith Herron,24,SG,80,2270,13.4,.511,.012,.280,4.7,6.1,5.4,10.4,1.9,0.7,12.5,21.8,1.6,1.9,3.5,.074,-0.6,-0.6,-1.3,0.4,
4,Kent Benson,26,C,59,1956,15.1,.524,.005,.330,7.0,17.4,11.9,13.9,1.7,2.0,17.7,22.2,0.6,2.5,3.1,.075,-0.3,0.4,0.1,1.0,
5,Ron Lee,28,PG,82,1829,9.9,.435,.040,.483,3.9,10.5,7.0,26.1,4.3,0.9,30.6,12.5,-1.5,2.9,1.4,.037,-3.8,3.0,-0.8,0.6,
6,Paul Mokeski,24,C,80,1815,10.3,.520,.002,.437,8.5,18.8,13.4,10.7,1.0,2.4,22.7,15.7,-0.4,2.1,1.7,.046,-3.2,0.5,-2.6,-0.3,
7,John Long,24,SG,59,1750,15.6,.503,.011,.192,6.0,7.2,6.5,10.7,2.6,0.7,12.7,27.5,0.6,1.8,2.4,.065,-0.3,-0.5,-0.7,0.6,
8,Wayne Robinson,22,PF,81,1592,11.5,.523,.012,.472,8.1,13.7,10.7,10.5,1.4,0.9,19.5,19.4,0.2,1.5,1.7,.052,-2.0,-0.7,-2.7,-0.3,
9,Larry Drew,22,PG,76,1581,9.3,.464,.035,.275,1.7,7.5,4.4,22.7,2.6,0.3,23.4,18.1,-1.6,1.6,0.0,-0.001,-3.5,-0.2,-3.7,-0.7,
10,Larry Wright,26,PG,45,997,11.1,.504,.023,.218,2.9,7.7,5.1,22.6,2.0,0.4,18.2,16.5,0.4,0.9,1.2,.060,-2.2,0.1,-2.1,0.0,
11,Greg Kelser,23,SF,25,654,11.8,.464,.007,.372,8.9,12.6,10.7,10.8,2.5,2.6,19.0,25.3,-0.9,0.9,0.0,-0.002,-3.1,0.2,-3.0,-0.2,
12,Tony Fuller,22,SG,15,248,6.9,.411,.015,.242,5.8,14.4,9.8,15.6,1.9,0.2,23.9,15.7,-0.4,0.3,-0.1,-0.021,-4.0,0.0,-4.0,-0.2,
13,Bob McAdoo,29,PF,6,168,11.5,.396,.000,.244,5.9,23.5,14.2,18.6,2.3,2.4,16.5,26.2,-0.4,0.3,-0.1,-0.035,-2.8,0.5,-2.3,0.0,
14,Norman Black,23,SG,3,28,1.9,.296,.000,.800,0.0,8.8,4.2,10.0,1.7,0.0,6.9,21.0,-0.1,0.0,-0.1,-0.133,-4.7,-0.3,-5.0,-0.1,
15,Edmund Lawrence,28,C,3,19,19.4,.615,.000,.500,11.6,13.0,12.2,9.5,2.5,0.0,9.3,22.9,0.1,0.0,0.1,.201,-3.8,0.1,-3.7,0.0,
16,Lee Johnson,23,PF,2,10,-4.7,.000,.000,.000,0.0,24.7,11.6,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,-0.132,-4.8,-0.2,-5.0,0.0,
