Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Joe Barry Carroll,22,C,82,2919,16.4,.534,.002,.351,10.3,18.7,14.4,5.8,0.8,2.3,14.4,23.0,3.7,2.0,5.7,.094,0.0,-1.3,-1.3,0.5,ROY-5
2,Bernard King,24,SF,81,2914,19.9,.617,.005,.351,6.7,14.4,10.5,15.1,1.2,0.7,15.6,23.2,7.7,1.4,9.1,.150,3.5,-0.7,2.8,3.6,MVP-14
3,Larry Smith,23,PF,82,2578,14.8,.540,.000,.507,18.3,24.5,21.4,4.6,1.3,1.4,16.7,13.4,3.7,2.4,6.1,.113,0.7,-1.2,-0.5,1.0,ROY-3
4,World B. Free,27,SG,65,2370,19.5,.542,.027,.561,2.2,5.3,3.7,22.3,1.7,0.3,11.9,27.4,6.8,0.6,7.4,.150,2.9,-1.4,1.5,2.1,
5,Purvis Short,23,SF,79,2309,17.0,.509,.015,.177,7.1,11.7,9.4,16.2,1.6,0.5,10.3,23.9,4.3,1.1,5.4,.111,1.5,-0.8,0.6,1.5,
6,John Lucas,27,PG,66,1919,11.6,.487,.047,.287,1.9,7.0,4.5,30.7,2.1,0.1,24.5,15.6,0.6,0.7,1.3,.032,-0.6,-1.1,-1.7,0.2,
7,Sonny Parker,25,SG,73,1317,13.3,.536,.000,.330,8.4,8.0,8.2,10.6,2.4,0.6,15.9,15.9,1.6,0.7,2.3,.084,0.3,0.3,0.6,0.9,
8,Clifford Ray,32,C,66,838,4.7,.438,.000,.408,9.5,19.4,14.4,7.5,1.4,0.9,29.2,12.0,-0.9,0.6,-0.3,-0.018,-5.9,0.3,-5.6,-0.8,
9,Lorenzo Romar,22,PG,53,726,10.2,.459,.028,.299,1.5,7.1,4.3,23.9,1.8,0.2,17.9,15.9,0.2,0.2,0.5,.030,-1.8,-0.8,-2.7,-0.1,
10,Billy Reid,23,SG,59,597,6.2,.470,.027,.211,4.9,6.2,5.6,15.6,2.6,0.5,27.8,18.6,-1.0,0.3,-0.6,-0.050,-5.4,-0.2,-5.6,-0.5,
11,Rickey Brown,22,C,45,580,10.9,.531,.000,.130,9.8,22.1,15.9,4.8,0.7,1.4,15.3,13.8,0.5,0.4,0.9,.075,-2.2,-0.6,-2.9,-0.1,
12,Joe Hassett,25,SG,24,434,16.0,.541,.586,.040,3.3,7.8,5.5,18.2,0.9,0.3,5.2,19.4,1.3,0.1,1.4,.156,4.1,-1.2,2.9,0.5,
13,Phil Chenier,30,SG,9,82,5.6,.407,.091,.182,1.3,9.6,5.4,11.1,0.0,0.0,10.1,19.2,0.0,0.0,0.0,-0.016,-4.1,-1.1,-5.2,-0.1,
14,Bill Mayfield,23,SF,7,54,6.8,.450,.000,.111,14.2,4.2,9.2,2.5,0.0,1.0,13.7,16.1,0.0,0.0,0.0,.000,-3.6,-1.0,-4.6,-0.1,
15,Rudy White,27,SG,4,43,13.3,.557,.000,.222,0.0,0.0,0.0,6.7,4.4,0.0,13.2,21.0,0.1,0.0,0.1,.094,-3.6,0.5,-3.1,0.0,
16,Tom Abernethy,26,SF,10,39,3.2,.463,.000,1.000,2.8,20.2,11.4,2.9,1.2,0.0,31.6,6.4,0.0,0.0,0.0,-0.004,-4.4,0.0,-4.4,0.0,
17,John Mengelt,31,SG,2,11,-5.9,.000,.000,.000,0.0,0.0,0.0,20.2,0.0,0.0,0.0,14.4,-0.1,0.0,-0.1,-0.247,-4.7,-0.4,-5.0,0.0,
