Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Johnny Davis,25,PG,76,2536,15.2,.522,.036,.326,2.3,5.0,3.7,26.4,1.8,0.3,13.7,19.2,4.1,1.6,5.7,.107,0.7,-1.0,-0.3,1.1,
2,Billy Knight,28,SG,82,2385,19.9,.596,.019,.400,8.5,10.3,9.4,10.0,1.7,0.3,12.8,23.2,6.5,1.9,8.4,.170,3.4,-1.2,2.2,2.5,
3,Mike Bantom,29,SF,76,2375,14.5,.528,.007,.319,6.7,13.1,9.8,14.4,1.6,2.0,16.4,20.3,1.8,2.5,4.4,.088,-0.2,0.1,-0.1,1.2,
4,James Edwards,25,C,81,2375,18.2,.547,.003,.346,8.5,18.0,13.1,13.3,0.6,3.1,12.4,22.3,4.4,2.6,7.0,.141,1.2,0.1,1.3,2.0,
5,Dudley Bradley,23,SG,82,1867,13.7,.515,.029,.318,4.0,7.4,5.6,13.6,4.7,1.1,16.1,16.3,1.0,2.9,3.9,.100,-1.8,3.4,1.6,1.7,
6,George McGinnis,30,PF,69,1845,14.9,.482,.009,.501,9.4,22.2,15.6,16.4,2.6,0.9,19.1,25.1,-1.1,2.9,1.7,.045,-1.6,0.2,-1.4,0.3,
7,Louis Orr,22,SF,82,1787,16.1,.538,.008,.285,10.2,11.9,11.0,10.7,1.5,0.8,13.4,20.6,2.8,1.5,4.3,.116,1.2,-1.2,0.0,0.9,
8,Clemon Johnson,24,C,81,1643,15.6,.530,.002,.406,11.1,20.2,15.5,11.8,1.3,4.1,18.1,16.3,1.4,2.3,3.7,.108,-0.2,1.2,1.0,1.3,
9,Don Buse,30,SG,58,1095,11.7,.471,.202,.226,1.8,6.7,4.2,16.4,3.2,0.4,10.7,12.9,0.9,1.2,2.0,.089,-1.2,1.7,0.5,0.7,
10,George Johnson,24,PF,43,930,17.4,.510,.013,.310,11.3,21.6,16.3,13.4,2.4,1.4,16.0,22.9,0.7,1.4,2.2,.112,0.1,0.3,0.4,0.6,
11,Jerry Sichting,24,PG,47,450,8.4,.426,.053,.337,2.6,8.0,5.2,19.2,2.4,0.1,20.4,12.2,-0.1,0.4,0.3,.032,-3.3,0.5,-2.7,-0.1,
12,Tom Abernethy,26,SF,29,259,8.7,.458,.018,.339,7.8,9.1,8.4,8.8,1.1,0.7,8.5,10.9,0.2,0.2,0.4,.072,-1.9,-0.4,-2.4,0.0,
13,Kenny Natt,22,SG,19,149,5.2,.360,.104,.143,6.4,4.5,5.5,9.4,1.6,0.4,10.9,24.7,-0.3,0.1,-0.2,-0.075,-5.1,-1.8,-6.9,-0.3,
14,Dick Miller,22,SF,5,34,4.4,.333,.167,.000,3.1,9.9,6.4,14.2,4.2,0.0,40.0,11.8,-0.1,0.0,-0.1,-0.071,-4.3,0.3,-4.0,0.0,
