Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Scott Wedman,28,SF,81,2902,14.8,.503,.054,.142,4.9,11.6,8.3,11.7,1.6,0.9,9.5,24.1,1.7,2.9,4.7,.077,-0.4,-0.7,-1.1,0.7,
2,Reggie King,23,PF,81,2743,16.9,.583,.000,.445,9.6,22.2,15.9,6.1,1.8,0.9,13.7,18.1,4.4,3.9,8.3,.145,0.8,-0.2,0.6,1.8,
3,Otis Birdsong,25,SG,71,2593,20.3,.580,.027,.348,5.1,5.9,5.5,14.3,1.7,0.4,10.3,26.8,6.2,2.0,8.2,.152,3.3,-0.8,2.4,2.9,"MVP-17,AS,NBA2"
4,Phil Ford,24,PG,66,2287,17.3,.553,.041,.399,1.3,4.9,3.1,35.5,2.1,0.1,18.8,23.3,3.4,1.9,5.2,.110,1.8,-1.3,0.5,1.4,MVP-12
5,Sam Lacey,32,C,82,2228,13.5,.483,.009,.218,6.6,22.5,14.6,22.5,2.0,3.1,23.7,14.3,0.2,3.8,4.0,.086,-0.9,3.5,2.6,2.6,
6,Ernie Grunfeld,25,SF,79,1584,13.7,.561,.000,.208,2.2,12.2,7.2,17.6,1.8,0.5,14.2,16.2,1.8,1.7,3.5,.106,-0.7,0.8,0.1,0.8,
7,Joe Meriweather,27,C,74,1514,12.4,.550,.000,.513,9.3,19.5,14.4,6.7,0.8,3.0,19.7,17.3,0.6,2.0,2.6,.083,-2.7,0.3,-2.4,-0.2,
8,Leon Douglas,26,C,79,1356,12.5,.583,.009,.576,12.4,19.1,15.7,6.7,0.9,1.6,18.2,15.1,1.6,1.6,3.2,.112,-2.1,-0.3,-2.5,-0.2,
9,Lloyd Walton,27,PG,61,821,9.9,.443,.005,.151,1.8,4.7,3.2,32.0,1.8,0.1,25.6,15.8,-0.5,0.6,0.1,.005,-1.7,-1.4,-3.0,-0.2,
10,Hawkeye Whitney,23,SG,47,782,14.0,.523,.020,.212,4.1,10.9,7.5,12.2,2.8,0.4,12.5,20.3,0.5,1.0,1.5,.091,-1.8,1.1,-0.7,0.3,
11,John Lambert,28,PF,43,475,8.1,.435,.013,.144,6.4,14.7,10.5,6.6,1.2,0.6,9.1,16.3,-0.1,0.5,0.4,.038,-4.2,-0.6,-4.8,-0.3,
12,Jo Jo White,34,PG,13,236,10.4,.462,.000,.220,1.4,8.4,4.9,21.0,2.2,0.2,16.7,19.0,-0.1,0.2,0.1,.021,-3.0,0.0,-3.0,-0.1,
13,Frankie Sanders,24,SF,23,186,13.0,.508,.000,.286,3.6,8.9,6.3,12.7,4.1,0.3,19.5,24.0,-0.1,0.3,0.1,.035,-3.3,0.9,-2.4,0.0,
14,Gus Gerard,27,SF,16,123,12.2,.447,.059,.569,11.8,14.4,13.1,6.5,1.2,2.8,9.9,23.8,0.0,0.1,0.2,.061,-3.7,-0.5,-4.2,-0.1,
