Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Mike Newlin,32,SG,79,2911,15.6,.571,.024,.366,3.0,5.6,4.2,15.5,1.4,0.2,14.4,23.4,4.8,1.3,6.1,.100,0.6,-1.4,-0.8,0.9,
2,Mike O'Koren,22,SF,79,2473,12.6,.515,.024,.282,8.0,14.0,10.9,14.0,1.6,0.6,14.7,15.8,1.9,2.0,3.8,.075,-0.3,-0.1,-0.4,1.0,ROY-7
3,Maurice Lucas,28,PF,68,2162,14.6,.528,.002,.304,7.8,22.5,15.0,11.6,1.2,1.5,15.7,20.5,1.2,2.3,3.5,.078,-0.8,-0.1,-0.9,0.6,
4,Darwin Cook,22,SG,81,1980,15.0,.503,.031,.220,5.3,8.2,6.7,21.9,3.2,1.0,16.4,21.4,0.6,2.1,2.7,.065,-0.2,1.1,0.9,1.4,
5,Cliff Robinson,20,PF,63,1822,17.9,.521,.001,.232,7.3,22.9,14.9,9.8,1.5,1.6,13.4,29.5,0.4,2.1,2.5,.065,0.0,-0.9,-0.9,0.5,
6,Mike Gminski,21,C,56,1579,14.5,.474,.001,.294,9.6,20.6,15.0,6.6,1.6,3.6,14.1,22.7,-0.5,2.0,1.5,.045,-1.6,-0.3,-1.8,0.1,
7,Jan van Breda Kolff,29,SF,78,1426,6.5,.506,.033,.478,3.7,12.5,8.0,11.2,1.2,2.0,26.7,11.2,-0.6,1.2,0.6,.019,-3.9,0.8,-3.1,-0.4,
8,Lowes Moore,23,PG,71,1406,11.1,.479,.056,.192,3.4,10.3,6.7,22.3,2.0,0.7,17.2,17.6,0.0,1.1,1.1,.037,-2.2,0.2,-2.1,0.0,
9,Bob Elliott,25,C,73,1320,12.3,.541,.005,.482,8.7,13.7,11.2,13.7,1.2,0.7,19.0,18.8,0.6,0.9,1.6,.057,-1.2,-0.8,-1.9,0.0,
10,Foots Walker,29,PG,41,1172,10.1,.537,.053,.657,2.1,7.9,4.9,26.4,2.0,0.0,28.1,10.2,0.7,0.8,1.5,.060,-2.1,0.0,-2.1,0.0,
11,Edgar Jones,24,PF,60,950,17.6,.578,.011,.611,10.7,20.8,15.6,6.7,1.7,4.8,18.2,23.0,0.9,1.4,2.3,.116,-1.5,1.2,-0.3,0.4,
12,Eddie Jordan,26,PG,14,239,13.3,.500,.137,.438,2.3,6.3,4.2,25.6,4.6,0.2,20.9,18.2,0.0,0.3,0.3,.065,-2.0,1.8,-0.2,0.1,
13,Rory Sparrow,22,PG,15,212,8.2,.400,.000,.254,3.6,6.0,4.8,19.5,2.8,0.8,20.4,16.4,-0.3,0.2,-0.1,-0.023,-3.3,0.3,-3.0,-0.1,
14,Bob McAdoo,29,PF,10,153,17.6,.552,.013,.280,5.8,13.6,9.6,10.4,2.7,2.2,14.3,25.4,0.1,0.2,0.3,.100,-1.1,0.6,-0.4,0.1,
