Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dennis Johnson,26,PG,7,267,17.4,.533,.045,.382,3.0,10.5,6.9,13.5,1.8,2.1,12.9,24.4,0.4,0.5,0.9,.161,2.8,0.6,3.4,0.4,
2,Truck Robinson,29,PF,7,233,12.0,.402,.000,.442,11.4,24.0,17.9,8.8,1.1,0.5,12.4,19.9,-0.1,0.5,0.4,.080,-0.5,-1.3,-1.8,0.0,
3,Alvan Adams,26,C,7,218,12.2,.512,.000,.467,5.8,14.8,10.5,19.0,1.0,0.3,20.8,18.5,0.1,0.4,0.5,.101,0.1,-0.3,-0.2,0.1,
4,Jeff Cook,24,SF,7,206,11.0,.521,.019,.352,9.5,15.6,12.7,8.5,0.3,0.0,13.8,15.5,0.2,0.4,0.6,.136,-0.7,-1.3,-2.0,0.0,
5,Walter Davis,26,SG,7,199,16.2,.493,.009,.160,4.1,6.5,5.3,22.4,1.8,0.3,13.0,29.0,0.1,0.3,0.4,.099,1.8,-1.0,0.9,0.1,
6,Alvin Scott,25,SF,7,120,13.9,.519,.000,.500,7.7,9.8,8.8,9.2,1.7,3.1,16.1,16.1,0.1,0.2,0.3,.132,1.7,1.0,2.7,0.1,
7,Johnny High,23,PG,7,117,10.4,.472,.000,.424,8.9,9.2,9.0,8.1,2.7,1.1,13.3,17.1,0.0,0.3,0.3,.121,-3.0,1.6,-1.4,0.0,
8,Rich Kelley,27,C,7,113,12.5,.465,.040,.560,13.3,20.9,17.2,17.4,2.8,1.7,31.0,17.7,-0.1,0.3,0.2,.069,-0.8,1.6,0.8,0.1,
9,Kyle Macy,23,PG,7,102,19.2,.627,.222,.194,2.3,11.6,7.1,19.1,2.6,0.0,15.2,20.0,0.3,0.2,0.5,.224,3.7,1.6,5.3,0.2,
10,Joel Kramer,25,PF,7,101,9.8,.522,.000,.080,2.3,14.9,8.8,6.4,1.0,1.2,3.7,11.8,0.1,0.2,0.3,.155,-2.1,1.0,-1.1,0.0,
11,Mike Niles,25,SF,2,4,-29.9,.000,.000,.000,0.0,0.0,0.0,0.0,13.1,0.0,0.0,55.2,-0.1,0.0,-0.1,-0.990,-29.0,-10.1,-39.1,0.0,
