Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,George Gervin,28,SG,7,274,20.2,.547,.019,.292,4.1,11.6,7.9,14.5,0.9,1.1,10.3,29.5,0.7,-0.1,0.7,.116,1.9,-1.3,0.6,0.2,
2,Mark Olberding,24,SF,7,254,18.0,.595,.029,.238,5.4,14.4,9.9,17.9,0.8,0.0,12.8,21.8,0.7,-0.1,0.7,.127,1.1,-0.6,0.4,0.2,
3,Reggie Johnson,23,PF,7,224,13.2,.530,.000,.342,8.3,10.4,9.3,9.8,0.9,1.3,10.6,17.5,0.4,0.0,0.4,.079,-1.2,-0.6,-1.8,0.0,
4,Paul Griffin,27,PF,7,183,12.9,.564,.000,.833,10.8,16.0,13.5,19.6,1.6,1.6,21.5,9.5,0.3,0.0,0.3,.084,-0.5,2.2,1.6,0.2,
5,George Johnson,32,C,7,165,14.2,.510,.000,.385,18.0,28.9,23.5,4.5,0.9,5.7,18.7,9.4,0.2,0.1,0.3,.093,-1.3,1.4,0.2,0.1,
6,Dave Corzine,24,C,7,161,16.7,.519,.000,.236,9.2,27.3,18.3,13.8,1.2,2.9,15.3,18.5,0.2,0.1,0.3,.079,-0.4,1.4,1.0,0.1,
7,James Silas,31,PG,7,161,11.7,.481,.000,.464,3.9,7.6,5.7,16.4,1.2,0.0,17.8,26.1,0.0,-0.1,-0.1,-0.020,-3.0,-2.6,-5.6,-0.1,
8,Johnny Moore,22,PG,7,124,17.1,.518,.081,.216,8.0,4.9,6.5,29.4,4.0,0.5,16.5,16.3,0.2,0.0,0.3,.109,0.5,2.4,2.9,0.2,
9,Ron Brewer,25,SG,7,118,20.3,.542,.049,.475,0.0,5.2,2.6,17.2,0.4,3.0,7.5,28.1,0.4,0.0,0.3,.132,3.0,-0.8,2.2,0.1,
10,Kevin Restani,29,SF,3,11,-0.2,.333,.000,.000,0.0,22.2,11.2,0.0,0.0,5.3,25.0,15.1,0.0,0.0,0.0,-0.154,-10.5,-0.6,-11.0,0.0,
11,Michael Wiley,23,PF,3,5,4.3,.532,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,.125,-9.6,-1.9,-11.5,0.0,
