Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,35,PF,81,2931,14.9,.483,.008,.339,8.4,20.0,14.1,4.8,1.1,3.2,11.3,23.0,0.1,4.9,5.1,.083,-1.6,0.6,-1.1,0.7,
2,Kevin Grevey,27,SG,75,2616,14.5,.524,.123,.263,2.7,6.2,4.4,16.2,1.2,0.4,10.5,21.1,3.4,2.4,5.8,.107,0.5,0.1,0.6,1.7,
3,Greg Ballard,26,SF,82,2610,16.7,.500,.027,.165,6.7,16.8,11.7,10.9,2.1,0.8,8.4,21.4,2.8,4.1,6.9,.127,0.8,1.4,2.2,2.8,
4,Kevin Porter,30,PG,81,2577,16.2,.561,.014,.288,1.4,3.7,2.5,39.3,2.0,0.2,20.6,19.0,3.8,2.6,6.4,.119,1.3,0.3,1.7,2.4,
5,Wes Unseld,34,C,63,2032,13.5,.543,.009,.200,10.6,24.3,17.4,10.6,1.2,1.0,17.2,11.1,2.1,3.4,5.5,.130,0.0,1.8,1.7,1.9,
6,Mitch Kupchak,26,PF,82,1934,16.6,.571,.001,.455,10.7,20.3,15.5,4.6,0.9,0.7,15.2,22.0,2.5,2.7,5.2,.130,0.1,-0.4,-0.3,0.8,
7,Wes Matthews,21,PG,45,1161,12.6,.546,.033,.287,2.7,3.4,3.0,24.3,1.9,0.5,22.8,22.6,-0.2,1.2,1.0,.041,-1.2,-0.4,-1.6,0.1,
8,Rick Mahorn,22,PF,52,696,13.6,.526,.000,.183,10.0,22.5,16.2,4.9,1.4,3.4,13.8,15.8,0.4,1.3,1.8,.123,-2.7,2.1,-0.6,0.2,
9,Don Collins,22,SF,34,661,13.6,.507,.011,.391,5.2,7.7,6.4,16.2,2.5,1.1,16.9,24.1,-0.1,0.9,0.8,.062,-1.7,1.5,-0.2,0.3,
10,Austin Carr,32,SG,39,580,7.2,.421,.034,.243,3.2,6.2,4.7,11.1,1.1,0.2,12.3,18.0,-0.5,0.5,0.0,-0.001,-4.1,-0.2,-4.4,-0.3,
11,Bob Dandridge,33,SF,23,545,11.6,.452,.004,.165,3.6,12.4,8.0,15.5,1.4,0.9,11.5,21.2,-0.2,0.7,0.5,.044,-2.2,0.8,-1.4,0.1,
12,Carlos Terry,24,SG,26,504,13.7,.527,.038,.263,8.9,15.3,12.1,18.8,2.5,1.4,24.2,18.8,-0.1,0.9,0.8,.074,-1.2,2.5,1.4,0.4,
13,Andre McCarter,27,PG,43,448,8.8,.419,.059,.178,3.7,5.4,4.6,20.8,1.5,0.0,14.2,15.2,-0.1,0.4,0.3,.034,-2.9,0.3,-2.6,-0.1,
14,Anthony Roberts,25,SF,26,350,6.2,.405,.000,.201,5.4,15.1,10.2,7.7,1.5,0.0,15.2,21.2,-0.7,0.5,-0.2,-0.032,-6.0,-0.3,-6.2,-0.4,
15,John Williamson,29,SG,9,112,4.2,.358,.107,.107,0.0,6.6,3.3,20.6,1.7,0.5,17.0,25.3,-0.4,0.1,-0.3,-0.117,-5.2,-0.5,-5.7,-0.2,
16,Keith McCord,23,SG,2,9,7.9,.500,.000,.000,11.6,11.8,11.7,16.5,0.0,0.0,33.3,26.8,0.0,0.0,0.0,-0.136,-4.4,-0.2,-4.6,0.0,
17,Dave Britton,22,PG,2,9,18.0,.667,.000,.000,0.0,23.5,11.7,49.4,5.2,0.0,40.0,22.3,0.0,0.0,0.0,.093,-4.4,0.4,-4.0,0.0,
18,Lewis Brown,25,C,2,5,-18.6,.192,.000,1.667,20.9,21.2,21.0,0.0,0.0,0.0,16.1,49.8,-0.1,0.0,-0.1,-0.667,-5.3,-0.4,-5.7,0.0,
