Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Magic Johnson,22,SG,14,562,22.5,.614,.025,.592,10.8,18.6,14.9,27.7,3.3,0.3,18.2,16.9,1.9,0.8,2.7,.231,5.7,2.4,8.1,1.4,Finals MVP-1
2,Norm Nixon,26,PG,14,549,16.9,.514,.012,.225,2.7,5.5,4.2,27.2,2.0,0.2,10.9,22.3,1.2,0.3,1.5,.131,2.3,-1.3,1.1,0.4,
3,Jamaal Wilkes,28,SF,14,535,13.9,.533,.004,.203,8.4,5.6,6.9,9.1,1.4,0.3,13.2,22.2,0.7,0.3,0.9,.083,1.2,-2.4,-1.2,0.1,
4,Kareem Abdul-Jabbar,34,C,14,493,20.1,.550,.000,.394,7.5,17.6,12.8,13.8,1.3,4.8,13.7,23.9,0.8,0.7,1.5,.144,3.0,1.3,4.4,0.8,
5,Bob McAdoo,30,C,14,388,18.4,.586,.000,.263,6.1,19.2,13.0,7.8,1.2,2.8,14.9,23.8,0.5,0.5,1.0,.126,1.8,-0.2,1.6,0.4,
6,Michael Cooper,25,SG,14,383,17.4,.597,.016,.274,5.6,11.0,8.4,20.2,2.9,1.5,17.3,17.2,0.7,0.5,1.2,.152,2.9,1.9,4.7,0.7,
7,Kurt Rambis,23,PF,14,279,11.8,.543,.000,.406,12.8,19.5,16.3,4.6,1.3,2.2,18.4,13.0,0.2,0.4,0.6,.099,-1.0,-0.5,-1.4,0.0,
8,Mark Landsberger,26,PF,9,60,5.3,.386,.000,1.000,20.5,18.5,19.4,3.6,0.0,0.0,23.6,11.1,0.0,0.0,0.0,.015,-3.5,-3.9,-7.4,-0.1,
9,Jim Brewer,30,PF,8,57,8.5,.500,.000,.000,7.9,12.4,10.2,7.5,1.6,5.5,40.0,6.9,0.0,0.1,0.0,.035,-0.8,2.5,1.7,0.1,
10,Clay Johnson,25,SG,7,38,8.4,.607,.000,.222,2.9,5.3,4.2,3.1,1.2,0.0,9.2,11.3,0.1,0.0,0.1,.097,-1.6,-1.1,-2.7,0.0,
11,Mike McGee,22,SF,4,10,24.6,.462,.077,.000,33.6,0.0,15.9,0.0,0.0,0.0,7.1,55.0,0.0,0.0,0.0,.023,3.6,-10.4,-6.7,0.0,
12,Eddie Jordan,27,PG,3,6,22.0,.000,.500,.000,0.0,0.0,0.0,84.7,15.5,0.0,33.3,19.7,0.0,0.0,0.0,-0.030,5.7,12.0,17.6,0.0,
