Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Sidney Moncrief,24,SG,6,252,13.1,.507,.014,.514,6.9,8.4,7.6,14.0,1.8,0.5,11.7,17.3,0.4,0.0,0.4,.076,0.6,-0.2,0.4,0.2,
2,Marques Johnson,25,SF,6,235,15.1,.477,.040,.420,11.4,12.7,12.0,13.8,1.3,0.5,9.2,23.5,0.3,0.0,0.3,.065,1.3,-1.6,-0.3,0.1,
3,Brian Winters,29,SG,6,232,12.8,.577,.130,.312,2.0,6.7,4.1,18.8,1.8,0.3,20.1,20.0,0.2,0.0,0.2,.044,0.2,-0.7,-0.5,0.1,
4,Bob Lanier,33,C,6,212,17.3,.527,.013,.313,9.9,18.1,13.6,17.0,1.9,1.5,13.3,21.0,0.3,0.1,0.4,.090,2.3,0.5,2.9,0.3,
5,Mickey Johnson,29,PF,6,206,21.7,.646,.013,.520,8.5,11.7,9.9,14.6,2.0,1.2,12.4,21.6,0.8,0.0,0.9,.201,4.7,1.0,5.7,0.4,
6,Alton Lister,23,C,6,112,13.0,.609,.000,.292,6.2,26.6,15.4,6.6,0.9,8.3,24.9,13.7,0.0,0.1,0.1,.060,-3.4,4.0,0.6,0.1,
7,Robert Smith,26,PG,6,68,15.4,.491,.269,.308,1.7,12.5,6.6,26.8,0.8,0.0,3.3,19.0,0.2,0.0,0.2,.132,1.2,-0.5,0.7,0.0,
8,Scott May,27,SF,4,50,8.5,.325,.000,.700,16.3,11.3,14.0,27.6,2.0,0.0,18.7,27.3,-0.1,0.0,-0.1,-0.115,-2.8,-2.3,-5.1,0.0,
9,Pat Cummings,25,PF,6,44,4.0,.379,.000,.182,7.9,25.8,16.0,6.4,0.0,2.8,25.2,15.3,-0.1,0.0,-0.1,-0.094,-6.2,-1.0,-7.3,-0.1,
10,Harvey Catchings,30,PF,6,26,4.0,.667,.000,.000,13.4,21.8,17.2,0.0,0.0,7.1,50.0,9.8,0.0,0.0,0.0,-0.043,-9.5,1.4,-8.0,0.0,
11,Brad Holland,25,SG,1,3,36.6,1.000,.000,.000,0.0,0.0,0.0,70.6,0.0,0.0,0.0,14.1,0.0,0.0,0.0,.468,17.3,4.5,21.8,0.0,
