Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Julius Erving,31,SF,21,780,22.5,.581,.019,.509,8.5,13.8,11.2,19.4,2.3,2.7,14.5,24.9,1.9,1.1,3.0,.185,6.6,1.4,8.0,2.0,
2,Maurice Cheeks,25,PG,21,765,16.6,.513,.034,.245,2.3,6.7,4.6,31.9,3.1,0.4,14.3,18.8,1.1,0.8,1.9,.119,2.8,0.7,3.6,1.1,
3,Andrew Toney,24,SG,21,707,17.4,.557,.041,.282,3.3,4.8,4.1,23.8,1.2,0.2,14.0,28.3,1.2,0.4,1.6,.106,3.2,-1.9,1.3,0.6,
4,Caldwell Jones,31,C,21,679,11.7,.514,.000,.256,8.9,21.9,15.6,3.7,0.8,3.4,14.0,12.8,0.4,1.0,1.4,.097,-0.2,0.2,0.0,0.3,
5,Bobby Jones,30,PF,21,589,16.5,.611,.000,.466,7.3,11.4,9.4,12.5,1.2,2.1,13.6,17.2,1.4,0.6,2.0,.160,3.2,0.5,3.7,0.9,
6,Darryl Dawkins,25,C,21,460,14.3,.578,.000,.281,5.8,17.7,12.0,3.7,0.7,4.4,16.0,21.7,0.3,0.6,0.9,.090,-1.6,0.4,-1.2,0.1,
7,Clint Richardson,25,SG,21,415,9.9,.474,.000,.288,8.1,10.5,9.3,12.8,1.5,0.7,15.2,13.9,0.1,0.4,0.5,.058,-0.4,0.0,-0.4,0.2,
8,Mike Bantom,30,SF,21,399,7.4,.416,.000,.462,11.4,10.3,10.8,7.7,1.8,1.3,18.0,14.0,-0.3,0.4,0.1,.016,-2.3,-0.4,-2.6,-0.1,
9,Lionel Hollins,28,PG,8,114,7.2,.329,.020,.122,1.0,7.6,4.4,29.8,3.9,0.5,20.1,23.7,-0.4,0.1,-0.2,-0.103,-3.9,0.1,-3.7,-0.1,
10,Earl Cureton,24,PF,12,75,8.5,.356,.024,.220,18.6,20.3,19.5,3.8,0.7,0.8,10.0,27.9,-0.2,0.1,-0.1,-0.046,-4.7,-5.4,-10.1,-0.2,
11,Steve Mix,34,SF,7,50,19.3,.598,.045,.318,9.3,15.2,12.4,19.1,0.0,0.0,13.8,24.4,0.1,0.0,0.2,.157,5.2,-1.6,3.7,0.1,
12,Franklin Edwards,22,PG,9,32,41.1,.689,.050,.450,7.3,10.2,8.8,31.6,4.6,0.0,7.7,34.0,0.2,0.0,0.3,.435,17.0,4.9,21.9,0.2,
