Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Eddie Johnson,23,SF,82,82,2933,15.9,.537,.052,.231,7.0,11.4,9.2,10.4,1.1,0.4,10.7,22.2,5.3,2.1,7.4,.121,1.6,-1.3,0.2,1.7,
2,Larry Drew,24,PG,75,74,2690,18.1,.545,.013,.310,1.8,6.6,4.2,31.6,2.1,0.2,16.4,23.7,5.1,2.1,7.2,.128,2.4,-0.8,1.6,2.4,MVP-18
3,Mike Woodson,24,SG,81,3,2426,18.9,.558,.029,.327,3.7,7.3,5.5,15.0,2.5,1.4,11.6,23.7,5.3,2.4,7.8,.153,2.5,0.9,3.4,3.3,
4,Ray Williams,28,PG,72,68,2170,14.4,.457,.069,.312,4.6,11.7,8.1,35.1,2.5,0.7,21.6,27.5,-1.5,2.4,0.9,.021,-0.3,-0.9,-1.1,0.5,
5,Joe Meriweather,29,C,78,74,1706,12.8,.589,.000,.360,9.5,17.4,13.4,4.8,1.2,2.8,18.4,14.5,1.8,2.1,3.8,.108,-1.4,0.7,-0.7,0.6,
6,Ed Nealy,22,PF,82,61,1643,11.6,.612,.000,.462,11.2,20.7,16.0,4.4,1.9,0.4,14.6,8.1,2.6,2.1,4.7,.137,-0.2,0.9,0.6,1.1,
7,Steve Johnson,25,C,79,21,1544,18.1,.629,.000,.545,9.8,18.1,13.9,8.8,1.2,3.0,19.6,22.8,2.5,1.9,4.4,.137,-0.2,0.7,0.5,1.0,
8,Reggie King,25,SF,58,5,995,10.5,.526,.000,.427,9.9,16.2,13.0,7.0,1.3,0.6,19.6,12.8,0.7,1.0,1.6,.077,-0.8,-0.2,-1.0,0.3,
9,Reggie Johnson,25,SF,50,0,992,12.2,.539,.011,.282,8.2,13.7,11.0,6.4,0.8,1.5,14.7,18.1,1.0,0.8,1.8,.087,-1.4,-0.7,-2.0,0.0,
10,LaSalle Thompson,21,C,71,3,987,14.7,.551,.003,.477,14.6,26.5,20.5,4.2,1.8,3.5,21.7,17.3,0.5,1.7,2.3,.110,-1.9,0.8,-1.1,0.2,
11,Kevin Loder,23,SF,66,13,818,10.9,.498,.030,.267,4.9,11.6,8.3,11.4,1.6,0.5,16.0,18.8,0.2,0.7,0.9,.051,-1.7,-0.3,-2.0,0.0,
12,Brook Steppe,23,SG,62,6,606,11.5,.557,.040,.568,4.5,8.6,6.5,14.0,1.9,0.3,20.0,17.4,0.5,0.5,1.1,.084,-1.8,0.2,-1.6,0.1,
13,Kenny Dennard,24,PF,22,0,224,7.6,.369,.000,.265,9.7,15.5,12.6,3.0,3.2,0.3,11.6,7.4,0.0,0.3,0.3,.069,-2.4,1.1,-1.3,0.1,
14,Leon Douglas,28,C,5,0,46,2.0,.515,.000,.667,7.1,9.4,8.2,0.0,0.0,3.7,20.5,4.1,0.0,0.0,0.0,.036,-4.4,0.1,-4.3,0.0,
