Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Truck Robinson,31,PF,6,205,18.0,.551,.000,.384,12.0,25.5,18.8,10.0,2.4,0.6,14.1,20.7,0.3,0.3,0.6,.138,3.0,0.8,3.8,0.3,
2,Rory Sparrow,24,PG,6,202,13.4,.486,.070,.296,1.7,5.7,3.8,30.7,1.7,0.0,13.9,19.7,0.2,0.1,0.3,.070,2.0,-0.3,1.8,0.2,
3,Bernard King,26,SF,6,184,24.0,.627,.031,.361,5.1,10.1,7.6,13.5,0.5,0.0,8.2,28.4,0.8,0.1,0.8,.222,7.9,-0.8,7.1,0.4,
4,Bill Cartwright,25,C,6,172,10.9,.636,.000,.512,6.1,16.9,11.5,3.4,0.9,2.4,26.5,17.8,0.0,0.2,0.2,.049,-1.6,0.5,-1.1,0.0,
5,Paul Westphal,32,SG,6,156,13.0,.511,.160,.260,0.0,6.0,3.0,31.8,0.6,0.7,13.9,17.7,0.2,0.0,0.3,.077,2.7,-1.1,1.5,0.1,
6,Ernie Grunfeld,27,SF,6,118,12.5,.567,.000,.559,2.0,5.9,4.0,12.1,2.9,1.0,17.5,18.6,0.1,0.1,0.2,.093,0.2,1.9,2.0,0.1,
7,Marvin Webster,30,C,6,115,10.1,.506,.000,1.222,13.2,15.1,14.2,3.4,0.0,3.5,12.6,11.7,0.1,0.1,0.2,.093,-0.3,-0.1,-0.4,0.0,
8,Louis Orr,24,SF,6,105,12.1,.447,.000,.213,8.9,14.4,11.7,4.4,2.4,2.2,13.5,24.1,-0.1,0.1,0.0,.016,-0.6,0.1,-0.5,0.0,
9,Trent Tucker,23,SG,6,85,12.0,.670,.133,.667,2.8,9.6,6.2,8.2,1.2,0.0,9.3,10.7,0.2,0.0,0.2,.135,2.1,0.8,2.9,0.1,
10,Sly Williams,25,PF,5,82,10.1,.425,.024,.073,14.3,15.6,14.9,11.6,1.8,0.7,22.1,28.2,-0.2,0.1,-0.2,-0.089,-0.7,-2.3,-3.0,0.0,
11,Ed Sherod,23,PG,4,15,10.4,.250,.000,.000,0.0,7.7,3.9,26.3,9.9,0.0,20.0,14.2,0.0,0.0,0.0,-0.002,-3.5,9.2,5.6,0.0,
12,Mike Davis,26,PF,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.008,-0.8,-2.1,-2.9,0.0,
