Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bill Cartwright,25,C,82,82,2468,19.0,.627,.000,.636,8.7,19.5,14.0,8.6,0.8,3.2,16.5,21.3,5.7,4.4,10.1,.197,1.3,1.5,2.8,3.0,
2,Truck Robinson,31,PF,81,76,2426,10.7,.485,.000,.285,9.5,22.4,15.9,8.6,1.2,0.6,19.3,17.3,-1.0,4.2,3.3,.065,-2.2,0.3,-1.9,0.1,
3,Bernard King,26,SF,68,68,2207,20.3,.566,.005,.340,5.2,12.2,8.7,16.0,2.0,0.4,13.0,29.1,4.0,3.5,7.5,.163,2.8,0.7,3.5,3.1,MVP-16
4,Paul Westphal,32,SG,80,59,1978,14.1,.516,.069,.266,1.1,5.8,3.4,33.4,2.2,0.5,20.2,20.9,1.0,2.7,3.7,.091,0.2,0.2,0.4,1.2,
5,Trent Tucker,23,SG,78,59,1830,11.6,.485,.046,.099,4.8,9.1,6.9,16.1,1.5,0.2,9.4,17.3,1.5,2.4,4.0,.104,-1.3,0.9,-0.4,0.7,
6,Louis Orr,24,SF,82,14,1666,13.3,.513,.003,.295,6.5,9.6,8.0,8.5,1.9,0.9,12.2,19.5,1.4,2.5,3.8,.111,-0.2,0.6,0.4,1.0,
7,Ed Sherod,23,PG,64,37,1624,11.4,.433,.031,.190,3.1,7.7,5.4,26.6,2.9,0.5,18.6,14.7,-0.2,2.7,2.5,.073,-1.3,2.1,0.8,1.1,
8,Marvin Webster,30,C,82,0,1472,14.0,.539,.003,.544,13.9,21.5,17.7,4.7,1.2,5.5,19.9,14.8,0.8,3.2,4.0,.130,-1.6,2.2,0.6,1.0,
9,Ernie Grunfeld,27,SF,77,0,1422,8.9,.494,.011,.260,3.4,10.1,6.7,13.5,1.4,0.4,16.7,15.1,0.2,1.9,2.2,.073,-2.8,1.0,-1.8,0.1,
10,Sly Williams,25,PF,68,6,1385,18.2,.530,.029,.400,7.9,16.8,12.3,16.0,2.6,0.1,14.9,27.5,1.2,2.6,3.8,.132,1.1,1.1,2.2,1.5,
11,Rory Sparrow,24,PG,32,9,880,12.3,.478,.023,.289,2.9,9.0,5.9,26.5,2.1,0.3,17.5,19.7,0.2,1.3,1.4,.079,-1.4,0.9,-0.5,0.3,
12,Vince Taylor,22,SG,31,0,321,7.6,.409,.000,.314,6.9,6.3,6.6,18.0,3.1,0.4,20.5,19.4,-0.5,0.5,0.1,.009,-4.6,1.4,-3.2,-0.1,
13,Scott Hastings,22,C,21,0,98,5.4,.408,.045,.636,11.8,25.4,18.6,1.4,2.5,0.0,17.6,14.8,-0.1,0.2,0.1,.054,-5.9,0.2,-5.7,-0.1,
14,Mike Davis,26,PF,8,0,28,21.1,.486,.000,1.000,12.4,29.7,20.9,0.0,0.0,8.8,0.0,21.9,0.1,0.1,0.1,.235,-3.4,0.4,-3.0,0.0,
