Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Bird,27,PF,23,961,26.3,.607,.039,.435,7.2,23.1,15.0,23.2,2.8,1.7,14.3,25.9,3.0,1.7,4.7,.236,8.0,2.3,10.3,3.0,Finals MVP-1
2,Robert Parish,30,C,23,869,14.5,.511,.000,.340,9.8,23.1,16.3,4.5,1.3,2.8,11.9,17.9,0.6,1.3,1.9,.105,0.3,-0.2,0.2,0.5,
3,Dennis Johnson,29,SG,22,808,12.9,.491,.022,.376,4.2,7.1,5.6,17.4,1.5,0.5,12.5,21.5,0.6,0.7,1.3,.075,0.6,-1.0,-0.3,0.3,
4,Cedric Maxwell,28,SF,23,752,13.3,.604,.006,.814,7.8,10.4,9.1,9.9,1.4,0.6,16.9,14.9,1.3,0.7,2.0,.126,1.7,-0.2,1.4,0.6,
5,Kevin McHale,26,PF,23,702,16.3,.572,.012,.496,9.9,13.5,11.7,5.7,0.2,3.0,11.3,19.6,1.4,0.7,2.1,.142,2.0,-0.9,1.1,0.5,
6,Gerald Henderson,28,PG,23,616,15.6,.531,.046,.316,4.2,5.5,4.8,23.8,2.7,0.1,13.2,20.7,0.8,0.6,1.5,.115,1.4,0.4,1.8,0.6,
7,Quinn Buckner,29,PG,23,268,6.8,.429,.013,.278,5.0,10.0,7.5,14.3,2.4,0.0,16.9,16.3,-0.2,0.3,0.1,.012,-5.0,0.6,-4.3,-0.2,
8,Danny Ainge,24,SG,19,253,10.6,.482,.100,.111,1.8,5.5,3.6,21.9,1.7,0.5,12.1,17.4,0.1,0.2,0.3,.063,-0.7,-0.1,-0.8,0.1,
9,Scott Wedman,31,SF,17,226,11.5,.443,.073,.104,11.9,11.9,11.9,11.2,1.3,0.0,11.5,20.6,0.0,0.2,0.2,.038,0.6,-2.0,-1.4,0.0,
10,M.L. Carr,33,SF,16,82,14.6,.516,.188,.344,6.8,4.3,5.6,7.1,4.2,0.0,7.5,19.9,0.1,0.1,0.2,.145,0.7,1.5,2.2,0.1,
11,Greg Kite,22,C,11,38,2.7,.329,.000,.750,14.8,12.3,13.6,9.6,0.0,1.6,22.0,14.7,-0.1,0.0,0.0,-0.033,-6.1,-1.8,-7.9,-0.1,
12,Carlos Clark,23,SG,8,20,10.9,.414,.000,.200,5.6,0.0,2.9,7.7,2.4,5.9,8.4,24.3,0.0,0.0,0.0,.006,-1.1,1.2,0.2,0.0,
