Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rolando Blackman,24,SG,10,397,20.4,.589,.000,.360,3.9,7.9,5.8,17.5,0.8,0.6,10.6,24.4,1.0,0.0,1.1,.131,4.0,-0.3,3.7,0.6,
2,Jay Vincent,24,SF,10,353,12.6,.502,.008,.500,8.5,14.1,11.1,8.0,1.0,0.2,14.2,21.3,0.2,0.1,0.3,.041,-2.2,-1.0,-3.2,-0.1,
3,Mark Aguirre,24,SF,10,350,19.2,.526,.027,.310,6.2,19.0,12.1,16.4,0.7,0.8,11.4,28.8,0.4,0.2,0.6,.077,1.4,-0.2,1.2,0.3,
4,Brad Davis,28,PG,10,304,9.9,.498,.027,.260,2.0,5.2,3.5,23.4,1.0,0.0,18.1,14.0,0.1,0.0,0.1,.012,-2.8,-0.9,-3.7,-0.1,
5,Pat Cummings,27,PF,10,300,11.8,.444,.000,.130,9.0,18.6,13.4,7.7,0.7,0.4,6.9,18.6,0.1,0.1,0.2,.035,-2.4,-1.1,-3.5,-0.1,
6,Derek Harper,22,PG,10,226,10.4,.438,.148,.130,3.7,6.4,4.9,17.3,2.5,0.5,9.5,11.9,0.1,0.1,0.2,.040,-2.5,1.9,-0.6,0.1,
7,Dale Ellis,23,SF,8,178,9.8,.353,.150,.100,11.0,15.6,13.2,3.4,2.9,0.7,5.6,21.2,-0.3,0.2,-0.1,-0.029,-4.4,-0.7,-5.1,-0.1,
8,Kurt Nimphius,25,C,10,178,13.1,.519,.000,.515,11.6,22.4,16.6,10.0,0.0,4.6,18.2,11.9,0.2,0.1,0.3,.079,-2.4,1.8,-0.6,0.1,
9,Bill Garnett,23,PF,8,74,21.2,.567,.033,.267,14.0,19.6,16.6,8.9,0.0,1.6,2.9,19.9,0.3,0.0,0.3,.191,3.2,-0.4,2.9,0.1,
10,Elston Turner,24,SF,8,53,14.3,.350,.000,.000,9.8,11.4,10.5,22.3,5.8,1.1,13.0,18.5,-0.1,0.1,0.0,.006,-1.4,4.5,3.1,0.1,
11,Mark West,23,C,4,32,9.9,.581,.000,.333,0.0,26.5,12.2,14.3,0.0,5.4,22.5,17.8,0.0,0.0,0.0,.037,-8.5,5.1,-3.4,0.0,
12,Roger Phegley,27,SG,1,5,17.1,.205,.250,.500,0.0,0.0,0.0,24.7,20.5,0.0,0.0,41.7,0.0,0.0,0.0,-0.151,-5.9,13.0,7.2,0.0,
