Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Alex English,30,SF,5,203,25.7,.634,.010,.275,8.7,13.9,11.2,19.6,0.7,0.6,5.8,23.5,1.0,0.0,1.0,.231,6.2,-0.4,5.8,0.4,
2,Kiki Vandeweghe,25,PF,5,180,22.8,.586,.052,.292,3.7,11.1,7.3,15.3,2.3,1.6,8.5,25.8,0.5,0.1,0.6,.162,3.6,0.7,4.2,0.3,
3,T.R. Dunn,28,SG,5,178,10.5,.588,.000,.280,12.4,12.6,12.5,4.9,2.5,1.3,22.2,8.0,0.2,0.1,0.3,.068,-1.1,1.3,0.1,0.1,
4,Dan Issel,35,C,5,153,25.6,.575,.020,.382,7.2,23.1,14.9,7.9,1.8,2.2,11.2,34.5,0.3,0.1,0.4,.136,2.3,-0.4,1.9,0.2,
5,Rob Williams,22,PG,5,149,12.4,.545,.277,.255,3.7,11.1,7.3,18.8,0.9,0.4,13.3,15.9,0.2,0.0,0.2,.065,-1.6,-0.7,-2.3,0.0,
6,Bill Hanzlik,26,SF,5,82,14.2,.647,.105,.316,4.0,7.2,5.6,29.6,1.7,0.0,21.7,13.2,0.2,0.0,0.2,.111,-0.5,1.1,0.7,0.1,
7,Danny Schayes,24,C,5,81,11.7,.651,.000,.444,4.1,30.5,16.9,5.7,2.2,2.1,24.5,13.8,0.0,0.1,0.1,.065,-4.9,2.1,-2.8,0.0,
8,Mike Evans,28,PG,5,77,1.5,.386,.286,.143,1.4,3.1,2.2,17.6,0.0,0.0,21.2,19.3,-0.2,0.0,-0.2,-0.138,-8.1,-4.0,-12.1,-0.2,
9,Howard Carter,22,SG,5,60,4.4,.341,.227,.000,1.8,7.8,4.8,9.4,3.0,1.0,18.5,17.7,-0.2,0.0,-0.2,-0.127,-6.0,-0.4,-6.4,-0.1,
10,Richard Anderson,23,PF,4,37,12.7,.454,.067,.400,3.0,25.4,13.9,16.1,0.0,1.5,5.4,19.8,0.0,0.0,0.0,.043,-2.7,0.0,-2.8,0.0,
