Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kelly Tripucka,24,SF,5,208,18.1,.550,.010,.500,5.1,7.2,6.1,11.6,2.5,0.0,12.6,27.4,0.3,0.2,0.5,.123,2.1,0.0,2.1,0.2,
2,Isiah Thomas,22,PG,5,198,20.6,.544,.072,.422,3.7,6.9,5.3,42.3,3.1,1.7,18.9,24.6,0.3,0.2,0.5,.129,5.1,1.6,6.7,0.4,
3,Bill Laimbeer,26,C,5,165,19.1,.635,.000,.392,9.0,33.3,20.6,10.7,1.2,1.0,16.7,17.4,0.4,0.3,0.6,.181,2.5,1.1,3.6,0.2,
4,John Long,27,SG,5,149,6.7,.446,.018,.273,5.0,3.1,4.1,1.9,2.2,0.0,14.0,19.2,-0.1,0.1,0.0,-0.008,-4.0,-0.8,-4.8,-0.1,
5,Vinnie Johnson,27,SG,5,132,11.0,.469,.022,.413,4.0,7.8,5.8,12.6,0.4,0.4,6.9,17.7,0.1,0.1,0.2,.071,-0.1,-1.3,-1.4,0.0,
6,Kent Benson,29,C,5,129,12.9,.459,.000,.270,7.4,18.6,12.8,7.4,1.8,3.1,6.8,13.8,0.1,0.2,0.3,.097,0.4,1.8,2.2,0.1,
7,Cliff Levingston,23,PF,5,101,16.3,.768,.000,.842,11.5,14.7,13.1,1.4,0.5,1.1,10.3,11.5,0.3,0.1,0.4,.195,2.5,-0.6,1.9,0.1,
8,Earl Cureton,26,C,5,93,13.0,.476,.000,.194,15.9,23.4,19.5,3.1,1.0,0.6,12.9,16.6,0.0,0.1,0.1,.068,0.2,-2.1,-1.9,0.0,
9,Terry Tyler,27,SF,5,42,15.8,.447,.000,.375,12.6,5.5,9.2,3.9,0.0,4.1,3.5,27.6,0.0,0.0,0.1,.063,1.9,-2.3,-0.4,0.0,
10,Lionel Hollins,30,PG,2,6,-15.9,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,9.5,66.7,20.0,-0.1,0.0,-0.1,-0.554,-11.0,-4.8,-15.8,0.0,
11,Ray Tolbert,25,PF,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.002,-2.2,-2.2,-4.3,0.0,
