Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Eddie Johnson,24,SF,3,107,14.9,.499,.104,.146,3.6,7.3,5.2,17.6,1.4,0.5,3.8,19.9,0.2,0.1,0.2,.101,2.4,0.4,2.8,0.1,
2,LaSalle Thompson,22,C,3,93,16.5,.502,.000,.275,11.5,26.5,17.9,6.7,1.6,2.5,10.0,21.5,0.1,0.1,0.2,.098,-0.2,0.4,0.2,0.1,
3,Mike Woodson,25,SG,3,87,14.1,.484,.023,.341,4.5,6.0,5.1,16.5,1.1,0.0,5.6,24.7,0.1,0.0,0.1,.079,0.2,-0.4,-0.2,0.0,
4,Reggie Theus,26,PG,3,81,14.3,.454,.070,.233,4.8,11.2,7.6,31.7,3.0,0.0,16.0,27.9,-0.1,0.1,0.0,-0.003,-0.7,0.9,0.2,0.0,
5,Larry Drew,25,PG,3,70,6.8,.418,.000,.158,0.0,7.4,3.2,21.4,2.1,0.0,19.7,14.5,-0.1,0.0,0.0,-0.029,-4.7,0.4,-4.3,0.0,
6,Larry Micheaux,23,PF,3,65,21.4,.670,.000,.556,18.0,18.0,18.0,7.1,0.0,4.4,8.2,15.1,0.2,0.1,0.3,.210,3.6,0.8,4.4,0.1,
7,Mark Olberding,27,PF,3,60,9.5,.473,.000,.933,6.5,23.8,13.9,13.6,0.0,0.0,15.9,16.8,0.0,0.0,0.0,.014,-2.3,-0.5,-2.8,0.0,
8,Dave Robisch,34,C,3,51,3.3,.349,.000,.167,11.4,22.9,16.4,5.2,0.9,0.0,28.0,14.1,-0.1,0.0,-0.1,-0.090,-6.5,-1.6,-8.1,-0.1,
9,Don Buse,33,PG,3,50,14.6,.563,.375,.375,0.0,7.8,3.3,31.7,1.0,1.2,13.9,17.4,0.1,0.0,0.1,.100,2.1,0.6,2.7,0.1,
10,Billy Knight,31,SF,3,37,4.6,.362,.000,.083,5.3,3.5,4.5,8.8,0.0,0.0,7.4,29.1,-0.1,0.0,-0.1,-0.141,-4.5,-4.6,-9.1,-0.1,
11,Ed Nealy,23,PF,2,19,18.6,1.042,.000,1.000,10.2,27.3,17.6,14.5,0.0,0.0,25.8,8.2,0.1,0.0,0.1,.198,3.7,1.6,5.3,0.0,
