Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gus Williams,30,PG,5,215,23.0,.546,.061,.214,1.1,4.8,3.0,42.7,2.0,0.8,11.5,25.6,0.5,0.2,0.7,.159,6.3,0.2,6.6,0.5,
2,Jack Sikma,28,C,5,193,18.9,.528,.010,.143,6.4,21.6,14.3,4.3,0.8,2.1,8.0,26.7,0.1,0.3,0.5,.121,0.6,-0.6,0.0,0.1,
3,Tom Chambers,24,PF,5,191,10.8,.508,.017,.305,2.4,15.8,9.4,5.9,1.4,0.9,11.9,18.1,0.0,0.3,0.2,.062,-3.3,0.1,-3.3,-0.1,
4,Al Wood,25,SG,5,157,12.0,.490,.018,.214,5.0,17.9,11.7,9.3,0.3,0.4,10.3,19.8,0.0,0.2,0.2,.062,-2.5,-1.0,-3.5,-0.1,
5,Danny Vranes,25,SF,5,147,11.2,.428,.026,.179,12.3,15.6,14.0,10.1,1.1,2.4,10.6,14.6,0.0,0.2,0.2,.079,-2.5,0.6,-2.0,0.0,
6,Reggie King,26,SF,5,91,4.1,.417,.000,.000,7.4,12.6,10.1,8.3,1.2,1.9,36.8,9.5,-0.1,0.1,0.0,-0.010,-6.2,0.7,-5.5,-0.1,
7,Fred Brown,35,SG,5,88,17.5,.473,.064,.234,2.6,5.9,4.3,18.2,2.4,0.0,5.5,28.3,0.0,0.1,0.1,.076,0.8,-0.1,0.7,0.1,
8,Steve Hawes,33,PF,5,74,13.2,.504,.143,.143,12.2,16.9,14.6,12.3,1.4,0.0,11.8,10.4,0.1,0.1,0.2,.136,0.5,0.3,0.8,0.1,
9,Scooter McCray,23,PF,4,38,10.9,.621,.167,.167,8.9,8.2,8.6,10.6,1.4,0.0,0.0,7.7,0.1,0.0,0.1,.162,-2.0,0.9,-1.1,0.0,
10,Jon Sundvold,22,PG,3,22,14.2,.450,.375,.250,5.1,4.7,4.9,31.7,0.0,0.0,10.1,20.4,0.0,0.0,0.0,.068,1.1,-2.3,-1.2,0.0,
11,Clay Johnson,27,SG,3,9,18.3,.500,.250,.000,12.5,0.0,6.0,17.6,5.9,0.0,0.0,20.2,0.0,0.0,0.0,.202,-1.7,5.4,3.7,0.0,
