Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Adrian Dantley,28,SF,11,454,24.7,.604,.000,.599,9.3,11.0,10.2,17.1,1.1,0.1,11.5,30.1,1.7,0.2,2.0,.207,5.7,-1.2,4.5,0.7,
2,Darrell Griffith,25,SG,11,417,15.1,.517,.246,.262,4.4,12.7,8.7,15.0,2.2,0.3,13.2,23.3,0.2,0.4,0.5,.060,0.2,-0.2,0.0,0.2,
3,Rickey Green,29,PG,11,404,15.8,.474,.026,.285,2.5,6.7,4.7,37.2,2.3,0.5,14.6,20.3,0.3,0.3,0.6,.068,1.3,-0.4,0.9,0.3,
4,Thurl Bailey,22,PF,11,340,10.5,.551,.021,.216,5.0,14.6,10.0,4.2,0.3,1.8,13.1,14.9,0.2,0.2,0.4,.055,-2.2,-0.6,-2.8,-0.1,
5,Mark Eaton,27,C,11,254,11.5,.516,.000,.415,8.6,24.3,16.6,4.6,0.9,7.4,24.8,10.5,-0.1,0.4,0.3,.059,-3.1,3.4,0.3,0.1,
6,Jeff Wilkins,28,C,11,205,10.8,.577,.000,.386,5.6,20.6,13.3,3.5,0.0,1.4,14.2,15.7,0.2,0.2,0.3,.075,-3.1,-0.7,-3.8,-0.1,
7,Rich Kelley,30,C,11,201,13.6,.692,.000,1.074,10.8,21.0,16.0,14.1,2.1,1.7,30.0,11.7,0.3,0.3,0.6,.134,-1.8,2.7,0.9,0.1,
8,John Drew,29,SF,11,172,17.0,.563,.000,.388,6.6,9.4,8.1,8.7,1.1,0.0,10.0,26.6,0.3,0.1,0.4,.109,-0.3,-1.5,-1.8,0.0,
9,Jerry Eaves,24,PG,11,132,12.9,.532,.065,.283,2.6,5.7,4.2,14.4,1.8,0.8,11.9,18.4,0.1,0.1,0.2,.066,-1.3,0.3,-1.1,0.0,
10,Tom Boswell,30,PF,5,55,1.1,.645,.000,1.250,4.2,7.9,6.1,4.6,0.0,1.0,39.2,7.7,0.0,0.0,0.0,-0.023,-6.9,-0.4,-7.3,-0.1,
11,Bob Hansen,23,SG,4,18,8.3,.444,.429,.286,12.7,30.0,21.6,15.0,0.0,0.0,20.2,22.7,0.0,0.0,0.0,-0.010,-3.9,-1.8,-5.7,0.0,
12,J.J. Anderson,23,SF,5,13,33.7,.688,.125,.000,26.4,8.3,17.1,0.0,0.0,4.3,0.0,25.4,0.1,0.0,0.1,.301,12.5,0.0,12.5,0.0,
