Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gus Williams,31,PG,79,78,2960,17.3,.482,.119,.233,2.6,4.7,3.6,30.5,2.9,0.6,11.5,26.0,1.2,3.9,5.1,.083,1.6,0.4,2.1,3.1,
2,Greg Ballard,30,SF,82,77,2664,14.3,.513,.047,.154,6.1,16.2,11.0,10.9,1.8,0.7,9.2,18.0,2.1,3.9,6.0,.109,-0.3,0.9,0.6,1.7,
3,Jeff Malone,23,SG,76,61,2613,15.0,.543,.059,.206,2.5,6.3,4.3,10.7,1.0,0.2,7.5,22.8,3.4,2.3,5.7,.105,0.0,-0.9,-0.9,0.7,
4,Rick Mahorn,26,PF,77,63,2072,10.4,.526,.000,.252,7.8,25.0,16.2,7.4,1.4,2.9,22.5,11.9,-0.3,3.9,3.6,.083,-3.7,2.3,-1.5,0.3,
5,Cliff Robinson,24,PF,60,37,1870,16.4,.507,.003,.238,8.1,24.5,16.1,12.0,1.3,1.4,14.0,25.6,-0.3,3.2,2.9,.075,-0.9,0.2,-0.7,0.6,
6,Darren Daye,24,SF,80,8,1573,15.7,.566,.014,.494,6.4,12.9,9.5,21.0,1.6,0.7,17.9,19.8,1.8,2.1,3.8,.117,0.4,0.8,1.1,1.2,
7,Tom McMillen,32,C,69,21,1547,10.4,.519,.009,.253,4.5,10.7,7.5,4.6,0.2,0.6,6.9,17.2,1.2,1.4,2.7,.082,-2.5,-1.1,-3.6,-0.6,
8,Jeff Ruland,26,C,37,36,1436,17.0,.617,.005,.665,9.5,22.3,15.7,15.8,1.0,1.1,24.0,21.6,1.1,2.2,3.3,.111,0.5,0.9,1.4,1.3,AS
9,Dudley Bradley,27,SG,73,24,1232,12.2,.536,.214,.264,3.0,9.2,6.0,18.1,3.7,1.0,20.1,14.1,0.3,2.1,2.4,.093,-2.3,3.8,1.5,1.1,
10,Frank Johnson,26,PG,46,1,925,15.0,.535,.047,.268,2.7,4.9,3.8,22.1,2.2,0.2,12.8,20.7,0.9,1.1,1.9,.101,-0.1,0.6,0.6,0.6,
11,Charles Jones,27,C,28,4,638,15.1,.569,.000,.423,11.7,19.3,15.4,5.0,1.7,6.6,12.6,10.9,0.9,1.3,2.2,.168,-2.0,3.2,1.3,0.5,
12,Guy Williams,24,SF,21,0,119,14.7,.468,.063,.079,13.6,11.4,12.5,11.7,2.0,1.0,10.9,25.6,0.0,0.2,0.1,.050,-0.8,-0.5,-1.3,0.0,
13,Don Collins,26,SG,11,0,91,12.9,.421,.000,.265,11.8,11.2,11.5,10.1,3.7,2.5,17.4,21.0,-0.1,0.2,0.0,.025,-1.1,1.8,0.7,0.1,
14,Tom Sewell,22,SG,21,0,87,-2.7,.265,.056,.111,2.5,2.6,2.5,8.8,1.7,0.7,15.6,21.4,-0.5,0.1,-0.4,-0.201,-10.9,-1.7,-12.7,-0.2,
15,Charles Davis,26,SF,4,0,28,1.0,.298,.000,.400,7.7,8.1,7.9,4.4,1.7,0.0,14.5,20.5,-0.1,0.0,-0.1,-0.127,-8.1,-0.6,-8.7,0.0,
