Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Alex English,32,SF,81,81,3024,21.7,.562,.003,.314,6.3,7.7,7.0,17.0,1.1,0.5,10.4,30.5,7.6,2.3,9.8,.156,4.4,-1.5,2.9,3.7,"MVP-8,AS,NBA2"
2,Fat Lever,25,PG,78,77,2616,15.7,.473,.036,.172,5.2,11.9,8.4,29.4,3.1,0.3,15.5,19.9,0.9,3.6,4.5,.082,0.5,1.1,1.6,2.4,
3,T.R. Dunn,30,SG,82,82,2401,9.4,.493,.003,.232,5.9,10.7,8.2,8.2,2.9,0.4,10.9,7.5,1.8,3.1,4.9,.098,-1.9,2.2,0.3,1.4,
4,Wayne Cooper,29,C,78,78,2112,16.3,.509,.008,.242,9.0,21.8,15.1,5.2,0.9,5.9,10.5,20.4,1.6,3.5,5.1,.116,-1.5,1.0,-0.5,0.8,
5,Calvin Natt,29,PF,69,62,2007,18.6,.562,.006,.373,6.2,17.0,11.3,11.6,1.3,0.4,10.7,23.3,3.9,2.3,6.1,.146,2.1,-0.8,1.3,1.7,
6,Bill Hanzlik,28,SF,79,0,1982,15.3,.537,.055,.547,4.4,9.7,7.0,20.7,2.4,0.4,15.2,21.1,2.4,2.3,4.7,.115,-0.3,0.7,0.4,1.2,
7,Danny Schayes,26,C,80,13,1654,13.4,.585,.002,.632,9.3,18.8,13.9,5.9,1.1,2.1,15.7,15.5,2.4,2.2,4.6,.134,-2.1,0.1,-2.0,0.0,
8,Mike Evans,30,PG,81,1,1389,12.4,.495,.246,.208,2.2,5.6,3.8,17.7,2.0,0.0,13.7,25.1,-0.1,1.2,1.1,.037,-1.6,-1.2,-2.8,-0.3,
9,Elston Turner,26,SG,73,0,1324,9.6,.459,.024,.140,4.8,11.3,7.9,15.3,2.4,0.3,16.6,14.0,-0.3,1.6,1.3,.047,-2.9,1.0,-1.9,0.0,
10,Pete Williams,20,PF,53,11,573,11.6,.587,.000,.360,8.2,18.9,13.3,3.0,1.5,2.2,12.9,9.9,0.6,0.8,1.4,.116,-1.6,0.6,-1.0,0.1,
11,Willie White,23,SG,43,4,343,15.1,.486,.125,.137,5.0,8.6,6.7,21.4,2.4,0.3,12.3,22.8,0.1,0.4,0.5,.070,0.4,-0.1,0.3,0.2,
12,Blair Rasmussen,23,C,48,1,330,8.7,.458,.000,.260,11.2,19.9,15.3,6.4,0.4,1.7,19.3,24.2,-0.5,0.4,-0.1,-0.021,-6.1,-2.0,-8.1,-0.5,
