Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Wes Matthews,26,PG,3,3,116,21.7,.661,.019,.148,1.0,7.4,3.8,41.1,2.5,0.0,16.1,25.7,0.2,0.0,0.2,.071,5.7,0.1,5.8,0.2,
2,Artis Gilmore,36,C,3,3,107,11.9,.663,.000,.583,7.5,14.7,10.7,4.3,3.1,0.5,24.9,16.3,0.0,0.0,0.0,-0.005,-1.2,-0.6,-1.8,0.0,
3,Mike Mitchell,30,SF,3,3,107,6.9,.417,.000,.192,3.2,8.0,5.3,15.3,1.3,1.6,15.1,26.9,-0.4,-0.1,-0.5,-0.210,-2.8,-2.7,-5.5,-0.1,
4,Dave Greenwood,28,PF,3,3,101,10.1,.566,.000,.348,1.1,24.0,11.3,4.3,1.4,0.6,3.6,11.8,0.1,0.0,0.1,.027,-1.5,-0.3,-1.8,0.0,
5,Alvin Robertson,23,SG,3,3,98,11.3,.389,.000,.448,5.8,13.1,9.1,26.8,3.4,0.6,12.6,17.6,-0.1,0.0,-0.1,-0.055,-1.0,0.6,-0.4,0.0,
6,Steve Johnson,28,C,3,0,53,-2.5,.378,.000,.733,4.3,10.8,7.2,5.3,0.0,1.1,23.2,21.2,-0.2,0.0,-0.3,-0.255,-11.2,-4.4,-15.6,-0.2,
7,Jeff Lamp,26,SF,3,0,45,4.4,.417,.167,.000,2.5,0.0,1.4,23.9,1.1,0.0,18.2,21.2,-0.1,0.0,-0.2,-0.184,-3.4,-3.1,-6.4,-0.1,
8,Jon Sundvold,24,PG,3,0,43,3.3,.434,.333,.056,0.0,3.3,1.5,18.1,0.0,0.0,21.3,23.7,-0.2,0.0,-0.2,-0.241,-3.4,-6.3,-9.7,-0.1,
9,Alfredrick Hughes,23,SG,3,0,18,6.1,.444,.000,.000,0.0,0.0,0.0,9.5,2.6,0.0,10.0,24.1,-0.1,0.0,-0.1,-0.163,-5.6,-1.0,-6.6,0.0,
10,Jeff Wilkins,30,C,3,0,16,-0.6,.000,.000,.000,0.0,26.7,11.9,0.0,0.0,7.2,0.0,2.7,0.0,0.0,0.0,-0.061,-10.7,1.9,-8.8,0.0,
11,Tyrone Corbin,23,SF,1,0,14,-5.6,.000,.000,.000,0.0,10.2,4.5,8.9,0.0,0.0,0.0,12.4,-0.1,0.0,-0.1,-0.339,-8.4,-6.1,-14.5,0.0,
12,Mike Brittain,22,C,1,0,2,50.0,.500,.000,.000,57.1,0.0,31.7,0.0,0.0,28.7,0.0,43.4,0.0,0.0,0.0,.164,17.5,5.8,23.3,0.0,
