Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,James Donaldson,29,C,82,82,3028,15.3,.658,.000,.620,10.7,23.8,17.4,2.6,0.8,2.5,13.3,10.5,6.5,3.9,10.4,.166,1.4,0.3,1.7,2.8,
2,Rolando Blackman,27,SG,80,80,2758,18.1,.569,.012,.375,3.8,7.0,5.5,14.2,1.1,0.4,10.6,24.3,6.5,1.5,8.0,.140,2.2,-1.1,1.0,2.1,"MVP-15,AS"
3,Sam Perkins,25,PF,80,80,2687,15.9,.545,.056,.309,8.1,16.5,12.4,7.4,1.9,1.6,10.8,18.5,4.2,3.3,7.5,.134,0.6,0.6,1.2,2.2,
4,Mark Aguirre,27,SF,80,80,2663,22.1,.560,.094,.350,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,6.8,2.1,8.9,.160,4.1,-1.1,3.1,3.4,"MVP-15,AS"
5,Derek Harper,25,PG,77,76,2556,20.0,.561,.213,.236,2.2,6.1,4.2,33.6,3.1,0.6,11.2,19.6,6.8,2.6,9.4,.177,4.0,1.2,5.2,4.6,DPOY-8
6,Detlef Schrempf,24,SF,81,5,1711,13.7,.560,.123,.463,5.6,13.4,9.6,12.6,1.4,0.5,14.0,18.7,2.5,1.5,4.0,.113,-0.2,-0.1,-0.3,0.7,
7,Brad Davis,31,PG,82,6,1582,14.5,.564,.243,.392,1.9,5.8,3.9,30.3,1.9,0.4,18.2,16.1,2.8,1.1,3.9,.119,0.8,-0.3,0.5,1.0,
8,Roy Tarpley,22,PF,75,1,1405,15.2,.501,.006,.279,14.1,26.7,20.5,5.0,1.9,3.2,15.3,19.1,0.6,2.5,3.1,.105,-2.3,0.4,-1.9,0.0,
9,Al Wood,28,SG,54,0,657,13.2,.482,.081,.448,6.5,8.9,7.7,7.2,1.4,0.9,8.4,25.1,0.5,0.5,1.0,.076,-1.9,-1.6,-3.4,-0.2,
10,Bill Wennington,23,C,58,0,560,7.9,.496,.015,.455,10.4,14.4,12.5,5.3,1.1,1.0,19.8,14.3,0.0,0.5,0.5,.045,-4.1,-0.6,-4.7,-0.4,
11,Uwe Blab,24,C,30,0,160,7.1,.419,.000,.549,7.6,16.6,12.2,10.4,1.2,3.2,19.2,19.9,-0.3,0.2,-0.1,-0.027,-6.4,0.3,-6.1,-0.2,
12,Dennis Nutt,23,PG,25,0,91,20.0,.574,.425,.550,1.2,8.2,4.8,24.1,3.7,0.0,16.8,26.7,0.2,0.1,0.3,.156,1.7,0.7,2.4,0.1,
13,Myron Jackson,22,PG,8,0,22,10.6,.439,.000,.889,5.0,9.6,7.4,33.5,2.2,0.0,28.5,32.4,-0.1,0.0,0.0,-0.104,-2.8,-2.8,-5.6,0.0,
