Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rodney McCray,25,SF,10,10,436,15.5,.629,.020,.535,8.8,12.7,10.8,18.4,0.6,1.2,17.2,14.7,0.8,0.5,1.3,.144,3.0,0.6,3.5,0.6,
2,Robert Reid,31,SG,10,10,431,5.1,.391,.110,.148,1.7,7.6,4.8,15.9,1.2,0.4,14.1,18.9,-0.8,0.4,-0.4,-0.041,-4.8,-1.3,-6.1,-0.4,
3,Hakeem Olajuwon,24,C,10,10,389,28.5,.659,.006,.542,12.0,20.7,16.5,11.7,1.7,6.4,14.0,28.1,1.2,0.8,2.0,.251,5.7,4.1,9.8,1.1,
4,Allen Leavell,29,PG,10,10,384,12.4,.528,.150,.561,1.9,5.4,3.7,26.2,2.5,0.5,17.3,17.8,0.3,0.5,0.7,.091,-1.0,1.1,0.0,0.2,
5,Ralph Sampson,26,PF,10,10,330,15.8,.564,.014,.295,9.8,20.1,15.2,10.6,0.3,2.1,15.8,25.2,0.2,0.5,0.7,.097,-0.4,0.0,-0.4,0.1,
6,Jim Petersen,24,PF,10,0,187,11.9,.577,.000,.353,8.9,18.6,14.0,4.7,1.3,0.6,14.5,15.6,0.1,0.3,0.4,.108,-1.4,0.0,-1.4,0.0,
7,Cedric Maxwell,31,SF,10,0,177,13.7,.628,.029,1.029,7.4,13.5,10.6,13.2,1.1,0.0,13.9,13.8,0.4,0.2,0.6,.156,0.8,0.4,1.1,0.1,
8,Steve Harris,23,SG,9,0,91,5.9,.405,.023,.140,3.9,4.8,4.4,8.4,1.6,0.0,6.2,22.7,-0.1,0.1,0.0,-0.012,-5.7,-1.5,-7.2,-0.1,
9,Dirk Minniefield,26,PG,8,0,27,9.3,.658,.125,.750,8.8,0.0,4.2,10.9,1.8,0.0,27.3,23.0,0.0,0.0,0.0,.070,-3.9,2.0,-1.9,0.0,
10,Buck Johnson,23,SF,5,0,10,-9.8,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,-0.1,0.0,-0.1,-0.413,-15.5,-7.9,-23.3,-0.1,
11,Dave Feitl,24,C,6,0,8,12.0,1.136,,,0.0,13.6,7.1,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,.231,2.5,0.9,3.4,0.0,
12,Richard Anderson,26,PF,5,0,5,20.2,.644,.667,.667,23.9,0.0,11.4,0.0,0.0,0.0,20.5,41.4,0.0,0.0,0.0,.154,6.6,-4.2,2.4,0.0,
