Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Terry Cummings,25,PF,82,77,2770,20.5,.536,.002,.264,8.5,19.8,14.1,13.5,2.2,1.8,9.8,26.1,4.1,4.7,8.8,.152,2.5,0.8,3.3,3.7,
2,Jack Sikma,31,C,82,82,2536,16.0,.533,.002,.372,9.0,27.3,18.0,11.1,1.7,2.2,14.0,18.4,2.7,4.7,7.4,.141,-0.1,1.2,1.1,2.0,
3,Ricky Pierce,27,SG,79,31,2505,18.5,.606,.026,.409,5.1,6.7,5.9,8.9,1.2,0.6,8.6,22.7,7.3,2.1,9.4,.180,2.7,-0.7,2.0,2.5,6MOY-1
4,Craig Hodges,26,PG,78,43,2147,11.9,.567,.334,.216,2.5,4.8,3.6,15.4,1.7,0.2,14.2,16.6,2.4,1.9,4.3,.095,-0.1,-0.2,-0.3,0.9,
5,Paul Pressey,28,SF,61,60,2057,16.7,.556,.089,.532,5.2,10.8,8.0,29.3,2.6,1.4,19.7,18.8,2.6,2.9,5.5,.129,1.9,1.6,3.5,2.9,DPOY-8
6,Randy Breuer,26,C,76,10,1467,12.3,.512,.000,.406,9.7,17.0,13.3,4.5,1.8,2.5,14.6,19.1,0.1,2.3,2.4,.077,-2.7,0.1,-2.6,-0.2,
7,John Lucas,33,PG,43,40,1358,19.4,.537,.202,.279,2.3,8.0,5.1,32.2,2.5,0.3,11.3,23.8,2.7,1.6,4.3,.152,3.8,-0.1,3.7,2.0,
8,Sidney Moncrief,29,SG,39,30,992,15.9,.582,.096,.500,6.3,7.9,7.1,17.1,1.3,0.6,13.7,18.9,2.0,0.9,2.9,.142,2.1,-0.4,1.7,0.9,
9,Jerry Reynolds,24,SF,58,24,963,12.9,.462,.051,.517,8.2,11.8,10.0,15.1,2.5,1.9,15.8,22.1,-0.5,1.4,0.9,.046,-1.1,0.6,-0.5,0.4,
10,Dudley Bradley,29,SG,68,2,900,10.3,.444,.235,.272,3.8,8.9,6.3,9.3,5.6,0.5,12.5,12.4,-0.1,1.8,1.7,.090,-3.6,5.1,1.5,0.8,
11,Paul Mokeski,30,C,62,3,626,7.4,.477,.008,.496,7.9,16.7,12.3,4.4,1.4,1.3,12.3,11.7,0.2,0.8,1.1,.081,-4.1,0.5,-3.5,-0.2,
12,Keith Smith,22,SG,42,4,461,6.0,.425,.060,.187,3.1,4.6,3.9,12.4,2.6,0.4,15.6,17.1,-0.5,0.5,0.0,-0.003,-6.0,0.4,-5.5,-0.4,
13,Junior Bridgeman,33,SF,34,4,418,11.1,.487,.035,.117,3.7,10.2,6.9,12.2,1.1,0.3,7.7,19.1,0.2,0.4,0.6,.069,-2.2,-1.0,-3.1,-0.1,
14,Scott Skiles,22,PG,13,0,205,6.2,.364,.226,.194,3.2,11.0,7.1,27.9,1.2,0.3,23.8,17.6,-0.4,0.2,-0.2,-0.050,-4.2,-0.8,-5.0,-0.2,
15,Marvin Webster,34,C,15,0,102,10.7,.599,.053,.421,12.9,15.5,14.2,3.8,1.4,4.2,26.2,12.2,0.0,0.2,0.2,.095,-2.7,0.2,-2.6,0.0,
16,Hank McDowell,27,PF,7,0,70,10.7,.548,.000,.412,14.1,16.1,15.1,3.8,1.4,0.0,13.0,13.5,0.1,0.1,0.2,.130,-2.6,-0.1,-2.6,0.0,
17,Don Collins,28,SF,6,0,57,9.1,.402,.000,.250,21.2,7.9,14.6,5.0,1.7,1.1,13.9,25.9,-0.1,0.1,0.0,-0.016,-4.8,-2.8,-7.5,-0.1,
18,Chris Engler,27,C,5,0,48,5.8,.281,.000,.083,6.9,30.5,18.5,7.7,1.0,1.3,0.0,10.6,0.0,0.1,0.1,.052,-6.5,-1.5,-8.1,-0.1,
19,Jerome Henderson,27,PF,6,0,36,-2.4,.407,.000,.308,6.1,15.6,10.8,0.0,1.3,1.7,28.9,23.6,-0.2,0.0,-0.1,-0.154,-14.2,-1.9,-16.1,-0.1,
20,Mike Glenn,31,SG,4,0,34,10.1,.466,.000,.538,0.0,6.6,3.3,4.0,1.4,0.0,0.0,19.4,0.0,0.0,0.1,.080,-4.0,-1.1,-5.1,0.0,
21,Kenny Fields,24,SF,4,0,22,16.6,.637,.000,.625,0.0,10.2,5.1,7.6,2.2,0.0,8.9,20.8,0.0,0.0,0.0,.108,0.1,1.3,1.5,0.0,
22,Cedric Henderson,21,PF,2,0,6,22.2,.773,.000,.667,18.3,75.1,46.4,0.0,0.0,0.0,43.6,46.9,0.0,0.0,0.0,-0.071,-8.1,-0.9,-9.0,0.0,
