Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Alex English,35,SF,3,3,108,16.5,.565,.000,.258,6.9,4.9,6.0,16.8,0.4,0.0,16.9,30.1,0.0,0.0,0.0,.009,2.1,-3.0,-0.9,0.0,
2,Bill Hanzlik,31,PF,3,3,106,12.5,.496,.182,.364,5.3,13.9,9.3,11.0,2.1,0.6,5.0,14.9,0.1,0.1,0.2,.079,-0.4,1.2,0.7,0.1,
3,Walter Davis,34,SG,3,0,94,18.0,.578,.067,.250,2.0,3.4,2.6,7.4,1.4,0.0,10.7,31.1,0.1,0.0,0.1,.057,1.1,-1.1,0.1,0.0,
4,Michael Adams,26,PG,2,1,75,17.9,.595,.611,.222,6.2,16.8,11.2,17.1,1.8,0.0,16.8,24.8,0.1,0.1,0.1,.083,4.1,-1.1,3.0,0.1,
5,Elston Turner,29,SF,3,0,74,5.4,.448,.077,.462,2.5,12.8,7.4,4.9,0.6,0.0,0.0,8.3,0.0,0.0,0.0,.024,-3.7,-0.1,-3.8,0.0,
6,Darwin Cook,30,SG,3,3,66,15.9,.582,.083,.250,2.8,17.5,9.7,23.1,2.0,0.0,13.1,18.2,0.1,0.1,0.2,.117,-0.8,2.8,1.9,0.1,
7,Fat Lever,28,SG,2,2,58,16.1,.442,.125,.083,3.2,19.9,11.1,43.8,3.1,0.0,19.4,20.8,0.0,0.1,0.0,.025,2.2,3.9,6.1,0.1,
8,Wayne Cooper,32,C,3,3,44,11.4,.500,.000,.000,8.5,21.5,14.6,5.9,1.0,2.8,0.0,10.7,0.1,0.0,0.1,.104,-2.1,1.2,-0.9,0.0,
9,Danny Schayes,29,C,2,0,36,7.6,.380,.000,1.143,5.2,26.3,15.1,3.2,1.2,1.7,8.7,12.5,0.0,0.0,0.0,.010,-3.7,-0.2,-4.0,0.0,
10,Dave Greenwood,31,PF,3,0,34,-1.2,.363,.000,.333,5.5,27.8,16.0,3.5,1.3,1.8,46.6,14.8,-0.2,0.0,-0.1,-0.178,-10.8,-0.7,-11.6,-0.1,
11,Jerome Lane,22,PF,2,0,21,7.7,.381,.143,.286,4.5,25.0,14.1,11.8,0.0,0.0,0.0,14.7,0.0,0.0,0.0,.021,-3.2,-1.5,-4.6,0.0,
12,Blair Rasmussen,26,C,2,0,4,-15.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.8,0.0,0.0,0.0,-0.327,-16.7,-2.9,-19.5,0.0,
