Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Patrick Ewing,26,C,9,9,340,19.1,.536,.000,.361,7.6,24.1,15.4,9.5,1.3,3.6,8.2,23.0,0.6,0.4,1.0,.138,1.5,0.6,2.2,0.4,
2,Mark Jackson,23,PG,9,9,336,17.7,.588,.280,.280,2.3,8.7,5.4,40.3,1.5,0.6,20.0,18.0,0.6,0.2,0.8,.114,4.6,-0.2,4.3,0.5,
3,Charles Oakley,25,PF,9,9,299,12.5,.521,.027,.329,16.1,23.7,19.7,5.2,2.0,0.2,20.8,15.2,0.0,0.3,0.4,.062,-1.0,-0.9,-1.9,0.0,
4,Gerald Wilkins,25,SG,9,9,290,15.2,.514,.076,.176,3.5,10.1,6.6,23.9,2.1,0.7,13.5,24.2,0.1,0.2,0.4,.060,-0.4,0.8,0.4,0.2,
5,Johnny Newman,25,SF,9,9,258,15.0,.564,.262,.458,5.6,5.7,5.7,10.5,1.6,0.3,12.3,24.4,0.4,0.1,0.5,.091,1.1,-0.5,0.6,0.2,
6,Trent Tucker,29,SG,9,0,159,16.5,.594,.552,.069,6.3,7.7,7.0,13.5,3.2,0.9,9.1,17.8,0.3,0.2,0.5,.144,3.2,2.5,5.8,0.3,
7,Kiki Vandeweghe,30,PF,9,0,159,14.5,.627,.163,.429,1.4,6.9,4.0,6.6,1.0,0.9,7.9,17.1,0.4,0.1,0.4,.134,1.2,0.2,1.4,0.1,
8,Sidney Green,28,PF,9,0,128,9.0,.498,.000,.467,12.2,21.0,16.4,5.4,0.8,0.5,16.2,14.5,0.0,0.1,0.1,.053,-3.7,-1.1,-4.8,-0.1,
9,Rod Strickland,22,PG,9,0,111,12.4,.478,.020,.347,6.0,7.7,6.8,36.0,1.8,0.6,18.7,26.9,-0.1,0.1,0.0,.002,-1.1,-1.1,-2.2,0.0,
10,Kenny Walker,24,SF,9,0,90,4.2,.468,.000,1.462,6.2,14.9,10.4,2.8,0.6,2.3,15.8,12.1,0.0,0.1,0.1,.031,-6.5,0.1,-6.4,-0.1,
11,Eddie Lee Wilkins,26,C,7,0,26,12.1,.487,.000,.909,21.5,28.2,24.7,0.0,0.0,0.0,20.6,32.1,-0.1,0.0,0.0,-0.072,-4.3,-4.6,-8.9,0.0,
12,Pete Myers,25,SG,4,0,14,16.5,.758,,,8.0,17.4,12.5,8.7,0.0,4.9,0.0,8.1,0.1,0.0,0.1,.240,1.6,2.7,4.3,0.0,
