Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Michael Jordan,26,SG,16,16,674,31.7,.592,.117,.373,4.2,16.6,10.2,34.5,3.5,1.5,10.1,36.1,2.7,1.3,4.0,.284,10.2,3.5,13.7,2.7,
2,Horace Grant,24,PF,16,16,616,15.4,.535,.013,.333,13.9,17.2,15.5,9.8,1.5,2.1,12.5,14.9,0.8,0.9,1.8,.137,2.0,0.2,2.2,0.7,
3,Scottie Pippen,24,SF,15,14,612,18.7,.569,.148,.476,6.3,15.1,10.6,21.7,2.6,2.2,16.2,21.8,0.9,1.0,1.9,.149,2.9,2.5,5.4,1.2,
4,Bill Cartwright,32,C,16,16,462,6.4,.461,.000,.355,6.3,13.3,9.7,5.0,0.6,0.6,15.2,15.7,-0.3,0.5,0.2,.016,-3.6,-2.1,-5.7,-0.4,
5,John Paxson,29,PG,15,15,395,7.9,.494,.103,.161,0.6,6.2,3.3,19.5,1.2,0.0,13.9,12.1,0.2,0.3,0.5,.065,-2.6,-0.6,-3.2,-0.1,
6,Stacey King,23,PF,16,2,281,10.9,.492,.011,.516,7.1,14.9,10.9,4.8,1.1,2.1,13.2,20.2,0.0,0.4,0.4,.061,-2.5,-1.2,-3.7,-0.1,
7,Craig Hodges,29,SG,16,1,254,4.8,.469,.554,.054,2.8,5.8,4.2,9.8,0.8,0.0,15.6,15.6,-0.2,0.2,0.0,.003,-3.2,-1.8,-5.0,-0.2,
8,Ed Nealy,29,PF,15,0,228,8.1,.519,.028,.583,8.2,19.4,13.7,3.0,2.3,0.3,13.4,10.1,0.1,0.4,0.5,.104,-3.2,0.7,-2.5,0.0,
9,B.J. Armstrong,22,PG,16,0,217,9.3,.441,.065,.387,1.6,9.6,5.5,19.2,2.4,0.0,14.2,17.2,-0.1,0.3,0.2,.045,-3.2,0.4,-2.8,0.0,
10,Will Perdue,24,C,13,0,78,16.6,.557,.071,.643,10.5,18.9,14.6,4.1,0.0,4.6,10.0,22.5,0.1,0.1,0.2,.153,-0.2,0.4,0.3,0.0,
11,Charles Davis,31,SF,6,0,20,-0.8,.286,.143,.000,17.5,0.0,9.0,7.2,0.0,0.0,12.5,17.6,0.0,0.0,0.0,-0.088,-8.0,-4.6,-12.6,-0.1,
12,Jeff Sanders,24,PF,3,0,3,26.9,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,.241,8.4,2.3,10.7,0.0,
