Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Hersey Hawkins,24,SG,8,8,329,21.2,.649,.257,.624,3.1,13.9,8.7,13.6,3.2,1.9,11.1,20.9,1.0,0.4,1.4,.203,3.7,2.3,6.0,0.7,
2,Charles Barkley,27,SF,8,8,326,26.8,.630,.160,.600,12.2,19.5,16.0,28.4,2.5,0.6,13.7,26.6,1.1,0.4,1.5,.217,7.8,1.1,8.9,0.9,
3,Armen Gilliam,26,PF,8,8,287,15.1,.543,.000,.442,6.3,15.9,11.3,6.0,0.9,1.3,10.8,23.0,0.2,0.2,0.4,.071,0.0,-1.8,-1.8,0.0,
4,Ron Anderson,32,SF,8,0,223,9.2,.457,.057,.216,5.2,6.5,5.9,14.5,1.4,0.0,11.1,23.0,-0.2,0.1,-0.1,-0.017,-2.8,-2.5,-5.3,-0.2,
5,Rick Mahorn,32,C,8,8,208,10.3,.605,.000,.389,4.3,20.2,12.5,10.4,0.5,1.2,15.9,11.4,0.2,0.2,0.4,.082,-1.6,0.4,-1.2,0.0,
6,Rickey Green,36,PG,8,8,199,8.6,.500,.073,.164,0.6,4.8,2.8,17.7,1.9,0.0,18.1,17.2,-0.2,0.1,-0.1,-0.014,-2.2,-2.1,-4.3,-0.1,
7,Andre Turner,26,PG,8,0,189,14.6,.527,.188,.333,1.4,7.0,4.3,29.2,3.1,0.0,12.7,15.8,0.2,0.2,0.4,.094,0.6,0.6,1.3,0.2,
8,Manute Bol,28,C,8,0,109,9.3,.546,.000,.500,4.7,16.5,10.8,1.4,0.5,7.0,18.5,11.7,0.0,0.1,0.1,.043,-3.4,2.1,-1.3,0.0,
9,Robert Reid,35,SF,7,0,41,1.3,.333,.111,.000,3.1,20.5,12.1,7.3,1.3,0.0,18.2,12.7,-0.1,0.0,-0.1,-0.070,-7.5,-0.8,-8.3,-0.1,
10,Brian Oliver,22,SG,4,0,15,7.7,.436,.000,.333,0.0,0.0,0.0,10.9,3.6,0.0,0.0,21.8,0.0,0.0,0.0,.042,-5.5,1.4,-4.2,0.0,
11,Jayson Williams,22,PF,4,0,10,32.7,.800,.000,.000,25.8,24.0,24.9,0.0,0.0,0.0,16.7,28.5,0.0,0.0,0.0,.209,9.1,-1.2,7.9,0.0,
12,Dave Hoppen,26,C,3,0,9,26.5,.773,.000,.667,0.0,40.0,20.7,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,.152,7.4,1.4,8.9,0.0,
