Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dominique Wilkins,33,SF,3,3,113,22.7,.510,.160,.400,11.1,4.3,7.9,17.3,1.4,0.6,10.2,37.8,0.2,-0.1,0.1,.046,7.7,-2.6,5.2,0.2,
2,Kevin Willis,30,PF,3,3,103,14.4,.489,.022,.311,13.2,15.3,14.1,5.4,1.0,0.0,12.0,24.6,0.0,-0.1,0.0,-0.013,-0.7,-3.2,-3.9,0.0,
3,Mookie Blaylock,25,PG,3,3,99,8.7,.488,.480,.240,2.1,13.4,7.4,20.1,1.6,2.6,28.5,17.0,-0.1,0.0,-0.2,-0.083,-2.0,-0.9,-2.9,0.0,
4,Stacey Augmon,24,SG,3,3,93,11.9,.496,.000,.387,3.4,6.5,4.8,9.1,2.3,0.0,9.9,18.9,0.0,-0.1,0.0,-0.007,-1.0,-0.7,-1.7,0.0,
5,Jon Koncak,29,C,3,3,89,6.2,.138,.000,.200,9.4,21.8,15.1,6.1,1.8,3.5,15.5,6.3,-0.1,0.0,-0.1,-0.056,-3.6,0.8,-2.9,0.0,
6,Duane Ferrell,27,SF,3,0,54,16.8,.655,.130,.217,1.9,9.0,5.2,3.8,0.0,0.0,13.7,23.5,0.1,-0.1,0.1,.052,1.5,-1.9,-0.4,0.0,
7,Adam Keefe,22,PF,3,0,53,14.9,.575,.000,.462,7.9,20.5,13.7,18.5,1.0,0.0,16.1,15.3,0.1,0.0,0.1,.063,0.6,0.5,1.1,0.0,
8,Steve Henson,24,PG,3,0,47,9.1,.444,.556,.000,2.2,7.7,4.8,15.7,4.5,0.0,18.2,10.2,0.0,0.0,0.0,-0.011,-2.7,1.7,-1.0,0.0,
9,Paul Graham,25,SG,2,0,27,6.1,.250,.250,.000,3.9,9.0,6.2,11.1,7.8,0.0,20.0,16.1,-0.1,0.0,-0.1,-0.148,-5.8,3.2,-2.6,0.0,
10,Travis Mays,24,PG,1,0,20,0.9,.500,.250,.000,0.0,6.1,2.8,0.0,0.0,0.0,20.0,10.9,0.0,0.0,0.0,-0.110,-7.6,-4.2,-11.8,0.0,
11,Randy Breuer,32,C,1,0,17,4.0,.250,.000,.000,6.1,7.1,6.6,8.6,0.0,3.7,0.0,10.2,0.0,0.0,0.0,-0.095,-3.9,-2.5,-6.4,0.0,
12,Greg Foster,24,PF,1,0,5,29.4,.525,.000,1.333,0.0,24.2,11.2,0.0,0.0,0.0,0.0,41.4,0.0,0.0,0.0,.229,7.3,-4.8,2.5,0.0,
