Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Johnson,23,PF,82,82,3323,18.9,.574,.051,.316,9.6,18.0,14.0,15.9,0.8,0.5,12.6,22.4,7.1,2.5,9.6,.139,3.2,-1.1,2.1,3.5,"AS,NBA2"
2,Muggsy Bogues,28,PG,81,80,2833,14.5,.503,.036,.230,2.0,8.9,5.6,32.5,2.7,0.1,16.1,13.9,3.6,2.3,5.9,.100,0.1,0.6,0.8,2.0,
3,Alonzo Mourning,22,C,78,78,2644,20.8,.586,.003,.567,11.2,21.0,16.4,4.3,0.5,5.8,14.4,25.5,4.8,3.4,8.2,.148,0.9,0.0,0.9,1.9,ROY-2
4,Kendall Gill,24,SG,69,67,2430,14.0,.503,.060,.281,5.6,9.3,7.5,15.8,1.9,0.8,13.0,22.6,1.1,1.7,2.9,.056,-0.2,-0.6,-0.9,0.7,
5,Dell Curry,28,SG,80,0,2094,16.0,.524,.215,.142,2.8,11.5,7.3,13.2,2.0,0.6,9.9,25.6,1.7,1.7,3.4,.077,1.1,-0.8,0.3,1.2,6MOY-4
6,Kenny Gattison,28,PF,75,5,1475,12.5,.554,.008,.440,8.3,17.0,12.9,6.1,1.6,2.1,12.3,14.6,1.6,1.6,3.2,.103,-1.9,0.4,-1.5,0.2,
7,Johnny Newman,29,SF,64,27,1471,15.5,.597,.084,.449,5.5,4.9,5.2,11.4,1.5,0.7,12.3,20.5,3.1,0.6,3.7,.120,1.0,-1.0,0.0,0.8,
8,David Wingate,29,SF,72,55,1471,11.5,.574,.018,.318,3.8,8.7,6.4,16.2,2.1,0.3,18.9,13.2,1.3,1.0,2.3,.075,-1.4,0.6,-0.8,0.5,
9,Tony Bennett,23,PG,75,2,857,9.3,.496,.308,.158,1.6,6.1,3.9,20.9,1.7,0.0,15.2,15.8,0.3,0.4,0.7,.039,-2.4,-0.7,-3.1,-0.2,
10,Kevin Lynch,24,SG,40,8,324,7.6,.568,.017,.644,4.2,7.3,5.8,9.7,1.6,1.1,24.1,12.7,0.0,0.2,0.2,.031,-3.9,0.3,-3.6,-0.1,
11,J.R. Reid,24,PF,17,1,295,12.3,.514,.010,.592,7.7,17.4,12.7,10.9,1.8,1.0,16.3,20.6,0.1,0.3,0.4,.068,-3.0,0.0,-3.1,-0.1,
12,Mike Gminski,33,C,34,0,251,14.1,.532,.000,.120,15.3,20.8,18.2,3.9,0.2,2.0,11.2,16.2,0.3,0.2,0.5,.104,-0.6,-1.9,-2.5,0.0,
13,Tom Hammonds,25,PF,19,5,142,8.3,.443,.000,.178,4.0,18.8,11.7,7.5,0.0,1.6,5.8,15.0,0.0,0.1,0.1,.038,-3.9,-0.8,-4.7,-0.1,
14,Sidney Green,32,PF,24,0,127,9.3,.425,.050,.400,12.5,26.6,19.9,5.1,0.4,0.9,14.5,17.9,-0.1,0.1,0.1,.024,-4.0,-2.6,-6.5,-0.1,
15,Lorenzo Williams,23,C,2,0,18,5.7,.333,.000,.000,18.8,34.1,26.9,0.0,0.0,6.3,40.0,11.5,0.0,0.0,0.0,-0.029,-7.7,-0.3,-8.0,0.0,
