Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Alonzo Mourning,24,C,4,4,174,21.3,.580,.140,.754,10.0,31.1,19.9,12.6,1.0,6.1,15.6,24.7,0.3,0.3,0.6,.176,2.7,2.6,5.4,0.3,
2,Larry Johnson,25,PF,4,4,172,17.6,.546,.138,.385,7.2,10.5,8.8,13.9,1.3,0.9,7.3,22.8,0.4,0.1,0.5,.136,3.7,-0.3,3.4,0.2,
3,Muggsy Bogues,30,PG,4,4,145,6.1,.360,.067,.111,2.6,2.9,2.7,31.7,1.6,0.0,16.0,18.5,-0.2,0.1,-0.1,-0.049,-3.0,-2.7,-5.7,-0.1,
4,Hersey Hawkins,28,SG,4,4,130,12.9,.570,.406,.531,4.8,17.1,10.6,11.4,2.6,1.2,18.6,17.8,0.1,0.2,0.3,.095,-0.8,1.8,1.0,0.1,
5,Dell Curry,30,SG,4,0,107,14.3,.657,.618,.324,5.8,5.2,5.5,11.4,0.0,0.0,13.4,20.0,0.3,0.0,0.3,.127,4.0,-1.3,2.7,0.1,
6,David Wingate,31,SG,4,4,73,17.5,.540,.222,.222,5.1,5.7,5.4,44.5,3.1,0.0,11.9,22.0,0.1,0.1,0.2,.148,1.6,4.3,5.9,0.1,
7,Robert Parish,41,C,4,0,71,9.2,.530,.000,.455,7.0,9.8,8.3,2.5,0.0,3.4,7.0,9.5,0.0,0.0,0.1,.059,-1.3,-0.2,-1.5,0.0,
8,Kenny Gattison,30,PF,4,0,58,7.6,.651,.000,1.000,10.7,16.7,13.5,6.2,2.0,0.0,30.3,13.6,0.0,0.1,0.1,.057,-6.8,1.4,-5.5,-0.1,
9,Greg Sutton,27,PG,3,0,23,-4.0,.000,.714,.000,16.2,12.1,14.2,20.4,0.0,0.0,12.5,16.6,-0.1,0.0,-0.1,-0.252,-6.3,-5.2,-11.5,-0.1,
10,Darrin Hancock,23,SF,3,0,18,-1.9,.333,.000,.000,13.8,15.4,14.5,10.5,3.1,0.0,33.3,23.9,-0.1,0.0,-0.1,-0.215,-12.7,-1.1,-13.9,-0.1,
11,Michael Adams,32,PG,1,0,11,12.6,.400,.400,.000,0.0,12.6,5.9,39.7,0.0,0.0,0.0,21.7,0.0,0.0,0.0,.044,-0.5,-2.3,-2.8,0.0,
12,Joe Wolf,30,PF,1,0,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.000,-0.9,-0.8,-1.7,0.0,
