Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gary Payton,26,PG,4,4,172,12.1,.491,.149,.179,4.3,2.9,3.6,21.9,1.6,0.0,10.0,21.2,0.1,0.1,0.2,.066,-0.1,-1.8,-1.9,0.0,
2,Shawn Kemp,25,PF,4,4,160,26.6,.667,.018,.684,13.0,24.2,18.5,12.8,2.7,4.3,16.8,25.3,0.5,0.3,0.9,.260,4.7,2.7,7.4,0.4,
3,Detlef Schrempf,32,SF,4,4,153,13.3,.555,.316,.421,1.6,13.9,7.7,13.2,1.1,1.3,14.0,23.3,0.1,0.2,0.3,.099,1.7,-1.0,0.7,0.1,
4,Sam Perkins,33,C,4,2,141,14.4,.552,.458,.042,5.2,22.1,13.6,15.5,1.2,3.5,15.5,18.6,0.1,0.2,0.3,.108,2.1,1.3,3.4,0.2,
5,Nate McMillan,30,PG,4,4,113,15.0,.398,.348,.087,7.6,12.1,9.8,38.1,4.9,1.7,22.7,12.4,0.1,0.2,0.3,.126,0.6,5.4,6.0,0.2,
6,Vincent Askew,28,SG,4,0,93,12.2,.495,.172,.103,14.5,5.4,10.0,14.0,1.8,0.0,9.0,16.3,0.1,0.1,0.2,.114,0.6,-0.9,-0.3,0.0,
7,Kendall Gill,26,SG,4,0,72,10.5,.438,.320,.320,1.7,5.2,3.4,22.4,3.1,1.4,12.3,20.5,0.0,0.1,0.1,.046,-1.5,1.1,-0.3,0.0,
8,Ervin Johnson,27,C,4,2,54,11.8,.421,.000,.429,18.1,30.0,24.0,0.0,1.0,7.2,5.7,14.8,0.0,0.1,0.2,.149,-5.9,0.6,-5.3,0.0,
9,Byron Houston,25,PF,1,0,1,-38.5,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.0,-0.940,-31.8,-18.7,-50.5,0.0,
10,Steve Scheffler,27,C,1,0,1,97.6,1.000,.000,.000,0.0,100.0,61.7,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.0,1.632,38.8,14.1,52.8,0.0,
