Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gary Payton,26,PG,82,82,3015,21.3,.564,.172,.259,4.3,6.7,5.5,31.8,3.4,0.3,11.8,24.4,8.2,3.5,11.7,.187,4.1,0.8,4.9,5.2,"MVP-9,DPOY-6,AS,NBA2"
2,Detlef Schrempf,32,SF,82,82,2886,20.3,.641,.182,.523,5.7,15.1,10.5,16.4,1.6,0.9,12.6,21.0,9.8,3.1,12.9,.215,4.3,0.1,4.4,4.7,"AS,NBA3"
3,Shawn Kemp,25,PF,82,79,2679,21.7,.610,.007,.587,14.4,25.0,19.8,8.8,1.9,3.5,17.1,24.4,5.9,4.7,10.6,.190,1.6,0.1,1.7,2.5,"AS,NBA2"
4,Sam Perkins,33,C,82,37,2356,16.2,.606,.462,.363,4.9,14.9,10.0,8.3,1.5,1.5,8.2,17.2,5.9,2.6,8.5,.173,3.0,-0.1,2.9,2.9,
5,Kendall Gill,26,SG,73,58,2125,15.2,.527,.199,.244,5.6,10.5,8.1,13.9,2.8,1.0,12.7,22.2,2.0,2.6,4.6,.103,0.5,0.0,0.5,1.4,
6,Nate McMillan,30,PG,80,18,2070,13.1,.496,.390,.146,3.8,13.4,8.7,27.0,4.0,2.0,23.0,11.5,1.6,3.6,5.1,.119,-0.2,3.8,3.6,2.9,"DPOY-6,6MOY-4"
7,Vincent Askew,28,SG,71,1,1721,13.6,.577,.187,.472,4.6,7.9,6.2,14.8,1.4,0.6,12.3,17.4,3.3,1.3,4.6,.128,0.4,-0.5,-0.1,0.8,
8,Šarūnas Marčiulionis,30,SG,66,4,1194,14.2,.562,.190,.433,1.7,5.0,3.4,14.1,3.0,0.2,15.3,23.3,1.1,1.2,2.3,.092,-1.2,0.0,-1.2,0.3,
9,Ervin Johnson,27,C,64,30,907,9.6,.469,.005,.240,13.5,24.2,18.9,2.4,0.9,5.7,20.3,12.7,-0.2,1.5,1.3,.067,-4.3,0.3,-4.0,-0.5,
10,Bill Cartwright,37,C,29,19,430,4.0,.434,.000,.348,7.0,16.8,12.0,3.0,0.7,0.5,18.5,9.8,-0.2,0.4,0.2,.021,-5.2,-1.0,-6.2,-0.5,
11,Byron Houston,25,PF,39,0,258,13.8,.533,.206,.355,9.4,15.8,12.7,3.6,2.5,1.5,13.9,24.1,0.1,0.4,0.5,.091,-4.0,-1.3,-5.3,-0.2,
12,Steve Scheffler,27,C,18,0,102,16.1,.631,.000,.783,9.5,17.1,13.4,5.5,1.0,1.5,8.8,14.4,0.3,0.1,0.4,.193,0.6,-0.6,0.0,0.1,
13,Dontonio Wingfield,20,SF,20,0,81,14.2,.415,.235,.196,16.4,27.4,22.0,6.0,3.1,2.9,12.6,33.9,-0.2,0.2,0.0,.007,-7.8,-3.4,-11.1,-0.2,
14,Rich King,25,C,2,0,6,-19.8,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,-0.1,0.0,-0.1,-0.499,-20.0,-9.9,-30.0,0.0,
