Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Juwan Howard,23,SF,3,3,129,17.3,.550,.000,.419,10.5,7.4,8.9,7.0,0.8,1.1,5.6,19.5,0.4,0.0,0.3,.126,3.2,-1.1,2.1,0.1,
2,Rod Strickland,30,PG,3,3,124,17.6,.489,.038,.365,5.5,12.6,9.2,38.0,1.3,0.0,15.4,26.8,0.2,0.0,0.2,.059,2.5,-1.4,1.1,0.1,
3,Calbert Cheaney,25,SG,3,3,120,11.4,.486,.049,.293,6.8,5.0,5.8,6.0,1.4,1.2,9.8,19.9,0.1,0.0,0.0,.013,-0.2,-0.3,-0.5,0.0,
4,Chris Webber,23,PF,3,3,106,16.7,.701,.367,.267,9.0,19.2,14.4,17.8,1.0,4.8,32.3,21.8,0.0,0.1,0.1,.045,1.0,3.0,4.0,0.2,
5,Tracy Murray,25,SF,3,0,87,28.6,.734,.333,.567,4.7,8.3,6.6,4.5,2.5,1.7,0.0,20.1,0.6,0.0,0.6,.344,9.0,3.7,12.8,0.3,
6,Gheorghe Mureșan,25,C,3,3,70,3.8,.599,.000,.889,3.9,27.4,16.4,0.0,0.0,4.1,46.8,15.6,-0.2,0.0,-0.2,-0.117,-6.7,0.3,-6.4,-0.1,
7,Harvey Grant,31,PF,3,0,29,-2.3,.000,.333,.000,0.0,16.6,8.8,0.0,0.0,5.0,0.0,4.8,-0.1,0.0,-0.1,-0.096,-7.1,1.4,-5.7,0.0,
8,Chris Whitney,25,PG,3,0,20,1.4,.643,.800,.200,0.0,12.0,6.4,16.4,0.0,0.0,47.9,24.3,-0.1,0.0,-0.1,-0.219,-3.5,-5.4,-8.9,0.0,
9,Tim Legler,30,SG,3,0,19,0.0,.174,.500,1.000,0.0,6.3,3.4,14.9,0.0,0.0,0.0,7.1,0.0,0.0,0.0,-0.079,-3.5,0.3,-3.3,0.0,
10,Jaren Jackson,29,SG,3,0,11,-17.3,.000,,,12.3,10.9,11.6,12.8,0.0,0.0,69.4,12.2,-0.1,0.0,-0.1,-0.330,-21.8,-0.8,-22.6,-0.1,
11,Lorenzo Williams,27,C,2,0,5,-3.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.045,-5.7,0.0,-5.7,0.0,
