Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Vince Carter,23,SF,3,3,119,18.2,.456,.200,.620,8.6,9.7,9.1,35.5,1.4,2.9,11.2,28.3,0.2,0.1,0.3,.123,4.7,-0.3,4.4,0.2,
2,Tracy McGrady,20,SF,3,3,111,15.3,.490,.159,.364,10.2,12.7,11.4,19.2,1.5,2.3,16.4,25.9,0.0,0.1,0.2,.067,1.7,-1.0,0.7,0.1,
3,Charles Oakley,36,PF,3,3,110,13.1,.510,.241,.034,2.1,24.5,12.6,22.3,3.0,0.8,14.5,14.7,0.0,0.2,0.2,.098,-1.4,2.8,1.5,0.1,
4,Antonio Davis,31,C,3,3,105,18.1,.647,.000,.583,7.6,22.0,14.3,6.4,0.5,3.3,11.7,15.3,0.3,0.1,0.4,.187,1.9,0.3,2.2,0.1,
5,Muggsy Bogues,35,PG,3,2,87,4.5,.358,.429,.143,3.9,4.4,4.2,11.3,2.6,0.0,15.2,14.2,-0.1,0.1,-0.1,-0.034,-3.3,-1.5,-4.8,-0.1,
6,Kevin Willis,37,PF,3,0,76,16.9,.467,.000,.606,9.0,33.8,20.6,3.1,1.5,0.0,4.6,27.1,0.1,0.1,0.2,.138,0.1,-1.9,-1.8,0.0,
7,Doug Christie,29,SG,3,1,61,5.1,.384,.615,.462,1.9,8.4,4.9,18.7,3.7,1.4,20.4,15.2,-0.1,0.1,0.0,-0.007,-4.8,0.8,-4.0,0.0,
8,Dell Curry,35,SG,3,0,30,9.0,.717,.750,.500,3.8,4.3,4.0,6.5,3.7,0.0,29.1,10.8,0.0,0.0,0.0,.076,-2.7,0.7,-2.0,0.0,
9,Dee Brown,31,PG,3,0,19,-4.1,.000,.750,.000,0.0,13.5,6.3,18.3,5.9,0.0,20.0,12.4,-0.1,0.0,-0.1,-0.165,-14.1,1.4,-12.7,-0.1,
10,John Thomas,24,C,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.008,-0.1,-0.9,-1.0,0.0,
11,Alvin Williams,25,PG,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.008,-7.3,-4.9,-12.2,0.0,
