Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Michael Finley,27,SF,10,10,434,13.7,.449,.235,.220,3.2,10.7,6.8,20.1,1.5,0.3,9.9,26.0,0.0,0.1,0.1,.013,1.9,-0.6,1.3,0.4,
2,Dirk Nowitzki,22,PF,10,10,399,22.3,.573,.282,.577,3.7,19.5,11.3,7.0,1.5,1.5,6.4,25.3,1.4,0.3,1.7,.206,5.3,1.0,6.3,0.8,
3,Juwan Howard,27,PF,10,10,391,10.9,.430,.000,.331,7.9,16.1,11.8,6.6,0.8,1.0,8.2,20.1,0.0,0.2,0.2,.020,-0.8,-1.3,-2.1,0.0,
4,Steve Nash,26,PG,10,10,370,15.1,.553,.361,.315,1.7,8.2,4.8,31.5,0.9,0.2,16.9,18.5,0.6,0.0,0.6,.082,2.9,-1.2,1.7,0.3,
5,Shawn Bradley,28,C,10,10,256,15.7,.564,.000,.255,10.0,21.3,15.4,3.5,0.8,8.8,15.0,12.1,0.3,0.3,0.7,.125,-0.3,3.8,3.5,0.4,
6,Howard Eisley,28,SG,9,0,194,6.5,.475,.491,.075,0.5,6.6,3.4,15.3,1.4,0.4,19.2,16.2,-0.2,0.0,-0.1,-0.032,-2.6,-0.4,-3.1,-0.1,
7,Calvin Booth,24,C,10,0,137,12.0,.464,.000,.243,12.4,10.2,11.3,2.6,2.8,3.3,8.9,15.2,0.1,0.1,0.3,.090,-2.7,0.5,-2.2,0.0,
8,Greg Buckner,24,SG,5,0,75,19.4,.547,.130,.435,11.3,20.1,15.5,7.6,3.6,0.0,6.8,18.2,0.2,0.1,0.3,.189,2.1,2.3,4.4,0.1,
9,Eduardo Nájera,24,PF,7,0,44,22.9,.618,.235,.000,16.9,21.1,18.9,4.9,1.2,1.7,5.6,18.9,0.2,0.0,0.2,.227,6.0,0.9,6.9,0.1,
10,Vernon Maxwell,35,PG,4,0,43,-1.2,.200,.500,.000,2.5,13.5,7.7,18.6,0.0,0.0,16.7,12.9,-0.1,0.0,-0.1,-0.146,-7.5,-1.3,-8.7,-0.1,
11,Mark Bryant,35,PF,4,0,34,3.0,.500,.000,.000,9.4,10.3,9.8,0.0,1.6,0.0,33.3,4.1,0.0,0.0,0.0,.026,-4.2,1.5,-2.6,0.0,
12,Wang Zhizhi,23,C,5,0,23,16.3,.536,.250,.375,0.0,10.1,4.8,8.0,2.4,3.3,9.7,20.8,0.0,0.0,0.0,.099,1.3,1.6,2.9,0.0,
