Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Antoine Walker,25,PF,81,81,3406,17.1,.490,.382,.192,4.7,18.6,11.5,22.8,1.9,0.9,12.1,27.8,1.5,5.2,6.7,.094,2.2,0.0,2.2,3.6,AS
2,Paul Pierce,24,SG,82,82,3302,22.3,.570,.325,.402,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,7.3,5.6,12.9,.187,4.7,1.3,5.9,6.6,"MVP-11,AS,NBA3"
3,Kenny Anderson,31,PG,76,76,2430,13.6,.472,.046,.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,1.7,3.5,5.2,.103,-2.3,1.9,-0.4,1.0,
4,Tony Battie,25,C,74,73,1819,14.5,.570,.005,.333,10.8,18.4,14.5,3.2,1.7,2.9,10.2,12.5,3.2,3.0,6.2,.164,-1.4,0.8,-0.7,0.6,
5,Eric Williams,29,SF,74,30,1747,8.8,.490,.223,.569,3.6,10.5,6.9,9.8,2.3,0.4,16.5,15.0,0.0,2.2,2.2,.061,-4.0,1.0,-3.0,-0.4,
6,Erick Strickland,28,PG,79,4,1643,12.9,.545,.506,.318,1.4,13.1,7.1,18.6,1.8,0.0,14.5,18.0,1.8,2.0,3.8,.111,-0.9,0.4,-0.5,0.6,
7,Vitaly Potapenko,26,C,79,9,1343,11.4,.513,.000,.399,13.3,15.1,14.2,3.6,1.4,1.0,15.1,14.1,1.3,1.7,3.1,.111,-3.0,-0.9,-3.8,-0.6,
8,Joe Johnson,20,SG,48,33,1003,12.0,.494,.297,.088,4.3,11.1,7.6,12.5,1.7,0.7,8.3,15.2,0.8,1.2,2.0,.094,-1.2,0.7,-0.4,0.4,
9,Walter McCarty,27,PF,56,0,718,11.5,.563,.550,.106,4.8,15.0,9.8,9.4,1.3,0.8,10.5,13.3,0.9,0.9,1.8,.122,-1.0,0.4,-0.6,0.3,
10,Rodney Rogers,30,SF,27,1,626,15.4,.590,.428,.225,5.8,13.1,9.4,11.7,1.3,1.5,14.7,20.8,0.9,0.8,1.7,.128,0.8,-0.4,0.4,0.4,
11,Tony Delk,28,SG,22,16,570,10.4,.437,.390,.174,3.8,11.6,7.6,14.6,2.0,0.8,9.3,16.3,0.0,0.7,0.7,.062,-1.9,0.2,-1.7,0.0,
12,Milt Palacio,23,PG,41,0,518,10.5,.483,.252,.378,1.7,9.1,5.3,16.8,2.1,0.5,13.2,16.0,0.2,0.6,0.8,.071,-3.3,0.9,-2.4,-0.1,
13,Mark Blount,26,C,44,0,415,9.3,.509,.000,.487,6.7,16.0,11.2,3.8,2.0,3.6,20.0,12.7,0.0,0.7,0.7,.081,-5.4,1.3,-4.1,-0.2,
14,Kedrick Brown,20,SF,29,5,245,11.9,.400,.386,.286,4.8,17.9,11.2,9.8,3.8,2.2,8.2,16.0,-0.1,0.5,0.4,.075,-2.3,3.1,0.8,0.2,
15,Joseph Forte,20,SG,8,0,39,2.8,.218,.250,.333,2.7,14.4,8.4,22.2,2.7,0.0,17.9,19.6,-0.2,0.1,-0.1,-0.144,-7.2,0.5,-6.7,0.0,
16,Randy Brown,33,PG,1,0,6,8.6,.000,.000,.000,0.0,0.0,0.0,46.4,0.0,13.0,0.0,7.6,0.0,0.0,0.0,.025,-1.0,5.2,4.2,0.0,
