Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Trenton Hassell,22,SG,78,47,2237,10.4,.502,.263,.182,3.3,10.2,6.7,13.0,1.3,1.5,13.0,16.0,0.6,0.9,1.5,.033,-1.7,-1.0,-2.7,-0.4,
2,Marcus Fizer,23,PF,76,20,1963,14.2,.482,.048,.334,7.4,18.3,12.7,11.7,1.3,0.9,11.9,25.9,-0.2,1.3,1.1,.026,-1.1,-1.8,-3.0,-0.5,
3,Ron Mercer,25,SG,40,40,1503,10.8,.440,.079,.151,3.3,8.9,6.0,15.1,1.1,0.5,9.4,25.8,-1.4,0.3,-1.1,-0.035,-2.0,-2.3,-4.3,-0.9,
4,Fred Hoiberg,29,SG,79,8,1408,12.2,.519,.316,.323,1.5,16.4,8.7,15.5,2.3,0.3,8.8,11.9,1.6,1.1,2.7,.092,-1.7,0.8,-0.9,0.4,
5,Brad Miller,25,C,48,47,1391,19.6,.540,.009,.560,14.4,19.4,16.8,13.0,2.0,1.5,11.6,21.1,3.1,1.3,4.4,.152,1.9,-0.4,1.5,1.2,
6,Tyson Chandler,19,C,71,31,1389,13.0,.543,.000,.730,9.3,19.8,14.4,6.5,1.1,5.0,19.8,16.6,0.4,1.4,1.8,.062,-3.3,-0.2,-3.5,-0.5,
7,Charles Oakley,38,PF,57,36,1383,6.6,.392,.023,.106,5.9,23.5,14.5,12.9,1.9,0.6,24.0,12.1,-1.8,1.3,-0.5,-0.016,-5.6,0.5,-5.1,-1.1,
8,Jalen Rose,29,SF,30,30,1216,18.4,.547,.170,.254,1.3,10.8,6.0,26.9,1.4,1.0,12.8,28.3,1.6,0.5,2.1,.082,2.3,-1.9,0.5,0.7,
9,Eddy Curry,19,C,72,31,1150,14.4,.540,.000,.424,11.0,16.8,13.8,4.0,0.7,3.4,13.4,20.7,1.0,0.8,1.8,.075,-2.4,-1.9,-4.4,-0.7,
10,Kevin Ollie,29,PG,52,17,1146,11.2,.490,.008,.514,1.8,11.5,6.5,26.9,1.7,0.1,20.5,15.7,0.3,0.5,0.7,.031,-2.4,-0.8,-3.3,-0.4,
11,Greg Anthony,34,PG,36,35,961,14.2,.475,.314,.244,1.9,9.0,5.3,35.7,2.7,0.3,15.4,18.0,0.6,0.6,1.2,.059,-0.3,-0.2,-0.5,0.4,
12,Metta World Peace,22,SF,27,26,823,18.4,.516,.259,.368,5.5,13.3,9.3,17.8,4.8,2.1,14.5,26.7,0.2,1.2,1.4,.083,1.2,3.0,4.2,1.3,
13,Travis Best,29,PG,30,18,793,14.9,.505,.098,.201,1.4,10.7,6.0,33.1,2.1,0.1,12.6,18.4,1.0,0.4,1.4,.085,-0.9,-0.9,-1.8,0.1,
14,Eddie Robinson,25,SF,29,12,653,12.5,.489,.020,.194,4.2,9.9,7.0,10.5,1.9,1.3,11.8,21.4,-0.1,0.3,0.2,.015,-1.1,-1.2,-2.3,-0.1,
15,Dalibor Bagarić,21,C,50,0,638,8.6,.443,.006,.393,9.8,20.1,14.8,6.0,1.4,2.8,18.1,18.4,-0.7,0.6,-0.1,-0.011,-5.7,-1.5,-7.2,-0.8,
16,A.J. Guyton,23,PG,45,6,607,11.8,.477,.504,.111,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,0.0,0.0,0.1,.006,1.3,-2.8,-1.6,0.1,
17,Jamal Crawford,21,PG,23,6,481,15.3,.555,.310,.070,1.2,7.2,4.1,21.8,2.0,0.8,14.2,21.5,0.4,0.2,0.6,.055,1.7,-1.9,-0.2,0.2,
18,Norm Richardson,22,SG,8,0,63,11.6,.556,.348,.391,3.6,9.5,6.5,2.9,0.0,0.0,10.0,21.9,0.1,0.0,0.1,.043,-0.6,-4.8,-5.4,-0.1,
