Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kobe Bryant,23,SG,19,19,833,20.5,.511,.135,.336,3.8,10.6,7.3,20.2,1.7,1.5,9.8,29.8,1.7,0.8,2.6,.148,4.1,0.2,4.3,1.3,
2,Shaquille O'Neal,29,C,19,19,776,28.3,.569,.000,.542,9.9,23.5,17.0,14.5,0.7,4.4,11.5,31.4,2.6,1.2,3.8,.236,6.3,1.2,7.5,1.9,Finals MVP-1
3,Robert Horry,31,PF,19,14,703,14.7,.576,.456,.279,5.9,17.8,12.1,13.3,2.5,1.6,16.4,11.8,1.1,1.1,2.2,.153,1.8,3.1,4.8,1.2,
4,Rick Fox,32,SF,19,19,652,12.0,.579,.309,.353,4.2,12.7,8.6,15.4,1.7,0.7,21.9,14.3,0.7,0.7,1.3,.099,-0.3,1.7,1.4,0.6,
5,Derek Fisher,27,PG,19,19,649,10.7,.501,.482,.333,1.8,8.5,5.3,12.4,1.5,0.1,9.4,14.8,0.8,0.5,1.3,.094,-0.6,0.4,-0.1,0.3,
6,Devean George,24,SF,19,0,327,9.8,.429,.337,.144,8.4,14.3,11.5,5.4,1.8,2.2,9.8,17.0,0.0,0.4,0.4,.064,-2.1,0.6,-1.5,0.0,
7,Samaki Walker,25,PF,19,5,240,11.5,.521,.019,.327,15.3,20.3,17.9,2.6,0.4,1.8,16.8,13.5,0.3,0.3,0.6,.115,-1.7,-0.6,-2.3,0.0,
8,Brian Shaw,35,PG,19,0,238,10.9,.425,.508,.063,4.3,11.6,8.1,19.3,1.1,1.8,11.0,13.8,0.1,0.2,0.4,.073,0.4,0.9,1.3,0.2,
9,Lindsey Hunter,31,PG,18,0,132,3.8,.400,.644,.000,1.7,4.0,2.9,11.9,0.8,0.0,10.0,17.2,-0.1,0.1,0.0,-0.016,-3.9,-0.9,-4.8,-0.1,
10,Stanislav Medvedenko,22,C,7,0,21,3.8,.600,.000,.000,5.5,15.2,10.5,0.0,0.0,0.0,16.7,12.9,0.0,0.0,0.0,.068,-7.8,-0.2,-8.0,0.0,
11,Mark Madsen,26,PF,7,0,10,-8.4,.000,1.000,.000,0.0,21.2,11.0,0.0,0.0,0.0,50.0,9.1,-0.1,0.0,0.0,-0.209,-14.8,-2.0,-16.8,0.0,
12,Mitch Richmond,36,SG,2,0,4,20.4,.798,.000,2.000,0.0,26.5,13.8,0.0,0.0,0.0,34.7,32.6,0.0,0.0,0.0,-0.016,-1.4,-1.1,-2.5,0.0,
