Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jason Kidd,29,PG,20,20,852,19.2,.514,.305,.334,4.7,16.4,10.4,35.4,2.3,0.4,16.8,25.0,1.1,1.6,2.6,.149,3.9,1.6,5.5,1.6,
2,Kenyon Martin,25,PF,20,20,777,17.4,.498,.033,.347,7.2,20.9,13.8,14.4,2.0,3.2,13.3,25.5,0.3,1.7,2.1,.128,0.4,2.5,3.0,1.0,
3,Richard Jefferson,22,SF,20,20,711,12.9,.523,.013,.368,4.5,16.4,10.3,12.1,1.2,0.5,14.6,20.0,0.4,1.1,1.5,.103,-0.8,0.7,0.0,0.3,
4,Kerry Kittles,28,SG,20,20,613,13.4,.494,.315,.210,3.4,9.9,6.6,11.4,2.5,0.7,7.2,17.4,0.6,1.1,1.7,.133,1.0,1.9,2.9,0.8,
5,Jason Collins,24,C,20,20,529,10.6,.496,.022,.670,10.7,16.6,13.6,5.0,1.3,1.8,13.3,11.6,0.6,0.9,1.5,.136,-2.1,1.4,-0.7,0.2,
6,Lucious Harris,32,SG,20,0,435,10.7,.490,.239,.333,4.9,9.0,6.9,12.7,1.1,0.0,12.2,18.8,0.2,0.6,0.8,.089,-1.0,0.1,-0.9,0.1,
7,Rodney Rogers,31,PF,20,0,350,10.1,.486,.347,.314,7.0,11.5,9.2,13.5,0.9,0.7,15.4,21.1,0.0,0.5,0.5,.072,-1.4,0.2,-1.2,0.1,
8,Aaron Williams,31,C,19,0,340,15.7,.514,.000,.292,10.8,18.9,14.7,9.5,0.9,4.0,9.8,17.7,0.5,0.7,1.2,.165,-0.2,2.3,2.1,0.3,
9,Anthony Johnson,28,PG,17,0,122,13.9,.624,.194,.194,2.7,8.8,5.7,27.7,0.9,0.0,19.2,15.5,0.2,0.1,0.4,.151,0.8,2.1,2.8,0.1,
10,Dikembe Mutombo,36,C,10,0,115,9.0,.537,.000,.267,7.7,19.6,13.5,8.1,1.4,6.3,32.3,9.8,0.0,0.3,0.2,.097,-4.9,4.7,-0.2,0.1,
11,Brian Scalabrine,24,PF,7,0,20,3.7,.500,.250,.000,5.6,17.8,11.5,0.0,0.0,0.0,20.0,11.3,0.0,0.0,0.0,.031,-6.3,-0.9,-7.2,0.0,
12,Tamar Slay,22,SG,6,0,11,-9.9,.375,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,24.7,-0.1,0.0,-0.1,-0.288,-11.0,-6.0,-16.9,0.0,
