Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Shawn Marion,24,SF,6,6,282,16.2,.469,.262,.243,7.6,19.3,13.2,8.2,2.0,3.2,9.9,20.8,0.1,0.6,0.7,.125,3.4,1.3,4.7,0.5,
2,Stephon Marbury,25,PG,6,6,272,11.2,.438,.162,.243,2.2,7.3,4.7,26.3,1.4,0.0,13.3,28.4,-0.3,0.4,0.0,.009,0.8,-1.4,-0.6,0.1,
3,Anfernee Hardaway,31,SG,6,6,244,13.3,.488,.357,.257,3.8,12.3,7.8,19.3,2.8,1.7,14.3,16.6,0.1,0.5,0.6,.116,1.3,3.0,4.3,0.4,
4,Amar'e Stoudemire,20,PF,6,6,203,15.9,.550,.015,.431,8.0,16.9,12.3,7.0,2.6,3.7,19.7,21.1,0.0,0.5,0.5,.110,-0.1,2.4,2.3,0.2,
5,Joe Johnson,21,SG,6,0,164,1.0,.301,.255,.098,3.7,13.5,8.4,8.5,1.3,1.0,18.4,17.7,-0.6,0.3,-0.3,-0.100,-5.5,-0.8,-6.4,-0.2,
6,Jake Voskuhl,25,C,6,0,98,18.1,.792,.000,.765,9.3,14.7,11.9,3.8,2.1,3.4,20.9,13.1,0.3,0.2,0.5,.250,0.1,3.6,3.7,0.1,
7,Scott Williams,34,C,6,6,83,8.0,.365,.000,.063,7.4,12.0,9.6,2.3,2.5,3.0,3.0,18.2,-0.1,0.2,0.1,.048,-3.9,1.1,-2.7,0.0,
8,Bo Outlaw,31,C,6,0,70,-3.9,.170,.000,.400,8.7,11.1,9.9,11.0,0.7,1.2,33.8,11.3,-0.3,0.1,-0.1,-0.100,-10.0,-0.3,-10.3,-0.1,
9,Casey Jacobsen,21,SF,6,0,39,2.9,.276,.500,.200,2.6,5.7,4.1,8.4,4.0,0.0,8.4,13.6,-0.1,0.1,0.0,-0.024,-4.2,1.8,-2.4,0.0,
10,Tom Gugliotta,33,PF,2,0,10,12.8,.512,.000,.500,0.0,22.2,10.6,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,.150,-1.8,0.5,-1.3,0.0,
