Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Damon Stoudamire,30,PG,82,82,3118,14.8,.508,.419,.142,2.0,9.7,5.9,27.0,1.8,0.2,14.3,19.2,4.5,1.4,5.9,.091,1.1,-0.9,0.2,1.7,
2,Zach Randolph,22,PF,81,80,3067,19.6,.528,.004,.287,9.5,23.4,16.5,10.4,1.2,1.0,13.8,27.6,4.1,2.9,7.1,.111,1.1,-1.6,-0.5,1.2,MIP-1
3,Derek Anderson,29,SG,51,46,1810,15.1,.499,.423,.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,.097,0.8,-0.5,0.3,1.0,
4,Dale Davis,34,C,76,37,1682,12.9,.505,.000,.377,11.3,16.8,14.1,6.6,1.4,2.8,10.9,10.3,2.4,1.5,3.9,.110,-0.7,0.4,-0.3,0.7,
5,Rasheed Wallace,29,PF,45,44,1675,17.5,.520,.259,.232,4.9,16.1,10.6,12.4,1.2,3.2,10.6,23.3,2.5,1.4,3.9,.111,1.7,-0.2,1.5,1.5,
6,Ruben Patterson,28,SF,73,1,1651,14.6,.530,.030,.481,9.4,9.9,9.6,13.9,2.8,1.0,18.0,16.7,1.7,1.3,3.0,.087,-0.4,0.7,0.4,1.0,
7,Jeff McInnis,29,SG,39,26,1269,15.0,.517,.113,.183,1.5,7.2,4.4,27.1,1.6,0.1,12.0,19.0,2.2,0.4,2.6,.098,0.2,-0.9,-0.6,0.4,
8,Darius Miles,22,SF,42,40,1191,18.6,.559,.024,.287,6.4,12.7,9.6,12.8,2.0,2.1,13.5,21.8,2.1,0.9,3.0,.121,1.7,0.2,1.9,1.1,
9,Theo Ratliff,30,C,32,31,1016,16.8,.566,.000,.398,10.6,16.6,13.6,3.1,1.3,10.4,14.1,11.2,1.4,1.6,3.0,.140,-1.2,3.3,2.1,1.0,DPOY-3
10,Shareef Abdur-Rahim,27,PF,32,3,728,16.5,.522,.042,.360,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,0.9,0.6,1.5,.098,-0.4,0.0,-0.4,0.3,
11,Qyntel Woods,22,SF,62,8,673,9.4,.425,.122,.253,8.2,15.8,12.0,11.5,1.7,1.6,16.5,22.2,-0.7,0.5,-0.2,-0.012,-4.1,-0.8,-4.8,-0.5,
12,Wesley Person,32,SG,33,0,621,14.8,.601,.452,.149,2.3,11.8,7.1,10.3,1.0,0.7,9.1,15.0,1.4,0.2,1.6,.124,2.3,-1.1,1.3,0.5,
13,Vladimir Stepania,27,C,42,2,453,12.2,.454,.000,.350,13.2,19.5,16.4,8.1,1.4,2.5,13.8,14.4,0.3,0.4,0.8,.081,-2.3,-0.3,-2.6,-0.1,
14,Bonzi Wells,27,SG,13,10,404,11.3,.423,.046,.154,6.2,11.7,9.0,15.6,2.8,0.6,14.6,25.7,-0.5,0.3,-0.1,-0.017,-3.8,-0.6,-4.4,-0.3,6MOY-12
15,Eddie Gill,25,PG,22,0,157,13.2,.558,.222,.556,3.1,9.8,6.4,16.2,3.2,0.5,21.1,17.1,0.2,0.1,0.3,.091,-1.1,1.6,0.5,0.1,
16,Dan Dickau,25,PG,20,0,151,7.7,.438,.408,.163,2.4,5.5,3.9,21.4,2.9,0.0,19.8,20.5,-0.1,0.1,0.0,-0.011,-4.0,0.4,-3.6,-0.1,
17,Omar Cook,22,PG,17,0,139,4.7,.259,.037,.000,2.6,2.5,2.6,25.6,4.0,0.0,27.0,12.6,-0.3,0.1,-0.2,-0.068,-6.3,1.0,-5.4,-0.1,
18,Matt Carroll,23,SG,13,0,48,6.2,.547,.273,.182,0.0,7.4,3.7,3.4,0.0,0.0,14.4,13.7,0.0,0.0,0.0,.011,-3.9,-2.7,-6.6,-0.1,
19,Tracy Murray,32,SF,7,0,35,2.4,.322,.417,.083,10.3,6.7,8.5,4.5,1.6,0.0,13.9,19.5,-0.1,0.0,-0.1,-0.109,-5.1,-3.6,-8.7,-0.1,
20,Desmond Ferguson,26,SF,7,0,32,11.3,.505,.667,.167,0.0,14.7,7.4,5.5,0.0,0.0,7.2,20.5,0.0,0.0,0.0,.021,4.1,-2.7,1.4,0.0,
21,Ruben Boumtje-Boumtje,25,C,9,0,26,3.4,.340,.000,.400,0.0,4.5,2.3,5.6,0.0,2.9,0.0,10.7,0.0,0.0,0.0,-0.014,-4.4,-1.4,-5.8,0.0,
22,Travis Outlaw,19,PF,8,0,19,16.4,.457,.000,.571,12.6,12.4,12.5,9.3,2.9,0.0,10.2,24.3,0.0,0.0,0.0,.067,1.8,-0.3,1.4,0.0,
23,Kaniel Dickens,25,PF,3,0,12,23.1,.902,.000,.667,20.0,0.0,9.9,0.0,0.0,0.0,20.5,19.3,0.0,0.0,0.0,.180,2.0,-2.5,-0.5,0.0,
24,Slavko Vraneš,21,C,1,0,3,-20.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,-0.371,-19.8,-6.4,-26.2,0.0,
