Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Tayshaun Prince,25,SF,18,18,745,17.0,.560,.199,.329,6.8,10.1,8.4,13.8,0.9,1.6,10.5,19.3,1.4,0.9,2.3,.148,3.3,0.8,4.1,1.2,
2,Chauncey Billups,29,PG,18,18,705,19.1,.577,.410,.507,1.2,9.7,5.3,30.9,1.8,0.2,13.3,22.3,1.8,0.9,2.7,.184,3.6,0.8,4.4,1.1,
3,Richard Hamilton,27,SG,18,18,690,15.0,.509,.129,.368,2.7,6.6,4.6,14.4,1.4,0.6,9.8,28.1,0.5,0.8,1.3,.090,0.8,-0.5,0.3,0.4,
4,Ben Wallace,31,C,18,18,642,12.4,.420,.014,.930,11.0,25.5,18.0,7.8,2.1,2.8,13.0,8.7,0.2,1.4,1.5,.114,-0.3,2.2,1.9,0.6,
5,Rasheed Wallace,31,PF,18,18,628,13.1,.512,.354,.247,3.2,19.6,11.1,9.9,0.9,1.9,9.2,21.1,0.2,1.0,1.2,.093,0.1,0.6,0.7,0.4,
6,Antonio McDyess,31,PF,18,0,370,17.9,.569,.010,.412,12.4,24.0,18.0,5.8,1.2,2.8,10.4,17.7,0.6,0.7,1.3,.174,-0.2,1.2,1.0,0.3,
7,Lindsey Hunter,35,PG,18,0,217,11.2,.461,.564,.128,4.4,6.4,5.4,24.3,3.9,0.4,14.5,21.6,0.0,0.4,0.3,.077,-2.5,2.9,0.4,0.1,
8,Tony Delk,32,PG,16,0,138,11.4,.467,.319,.213,3.4,12.9,8.0,10.9,2.5,0.0,7.2,19.5,0.0,0.2,0.2,.079,-2.7,0.6,-2.1,0.0,
9,Maurice Evans,27,SG,16,0,101,22.6,.715,.367,.533,7.0,10.1,8.5,5.8,0.6,0.8,5.1,18.8,0.5,0.1,0.6,.283,5.6,0.7,6.3,0.2,
10,Dale Davis,36,C,8,0,36,-11.0,.129,.000,.667,3.3,28.2,15.3,4.2,0.0,0.0,27.9,14.5,-0.2,0.1,-0.2,-0.203,-16.2,-1.4,-17.7,-0.1,
11,Carlos Delfino,23,SG,8,0,32,-6.6,.363,.333,.333,0.0,15.9,7.6,9.8,1.8,0.0,46.6,19.6,-0.2,0.0,-0.2,-0.234,-12.0,-1.7,-13.6,-0.1,
12,Kelvin Cato,31,C,4,0,15,23.7,.600,.000,.000,23.6,33.9,28.6,0.0,0.0,0.0,0.0,16.2,0.1,0.0,0.1,.263,2.3,-4.0,-1.8,0.0,
