Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Richard Jefferson,25,SF,78,78,3059,18.9,.603,.187,.577,3.6,17.1,10.2,18.0,1.0,0.4,12.1,22.1,7.6,4.1,11.7,.184,2.6,0.5,3.1,3.9,
2,Jason Kidd,32,PG,80,80,2975,19.2,.526,.436,.270,3.3,19.8,11.4,39.0,2.7,0.8,15.9,19.1,4.5,5.6,10.1,.163,2.8,2.6,5.4,5.5,
3,Vince Carter,29,SG,79,79,2906,21.6,.536,.242,.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,4.9,4.4,9.3,.153,4.5,0.5,5.1,5.2,AS
4,Nenad Krstić,22,PF,80,80,2469,14.4,.541,.005,.301,8.5,15.9,12.2,6.8,0.7,2.1,11.8,21.6,2.0,3.4,5.4,.105,-1.9,-0.4,-2.2,-0.1,
5,Jason Collins,27,C,71,70,1895,5.5,.425,.046,.328,5.7,15.6,10.6,5.7,1.3,1.7,16.9,9.0,-0.9,2.9,2.0,.051,-5.3,1.5,-3.8,-0.9,
6,Clifford Robinson,39,PF,80,13,1863,9.6,.502,.341,.154,3.4,13.5,8.4,8.2,1.3,1.7,10.2,15.4,0.2,2.7,2.8,.073,-2.7,0.7,-1.9,0.1,6MOY-14
7,Jacque Vaughn,30,SG,80,6,1234,7.5,.488,.024,.331,1.5,7.2,4.3,16.2,1.8,0.1,15.6,12.7,0.0,1.5,1.5,.060,-5.3,1.1,-4.1,-0.7,
8,Scott Padgett,29,PF,62,1,718,12.5,.489,.602,.169,9.0,18.1,13.5,9.5,2.1,1.4,8.9,15.5,0.6,1.3,1.8,.123,-0.9,0.8,-0.2,0.3,
9,Zoran Planinić,23,PG,56,1,596,6.9,.450,.306,.361,2.7,12.0,7.3,15.0,1.8,0.5,16.9,20.2,-0.8,0.8,0.1,.005,-6.1,0.4,-5.7,-0.6,
10,Lamond Murray,32,SF,57,1,576,10.8,.493,.431,.221,5.8,21.3,13.4,3.9,1.6,1.0,10.0,18.0,-0.1,1.0,0.9,.076,-2.8,-0.2,-3.0,-0.1,
11,Jeff McInnis,31,SG,28,1,486,9.2,.478,.112,.203,2.6,9.5,6.0,18.7,1.2,0.3,15.7,17.9,-0.2,0.6,0.3,.031,-2.9,-0.3,-3.3,-0.2,
12,Marc Jackson,31,C,37,0,433,10.7,.503,.000,.324,8.0,16.2,12.1,9.2,0.6,1.1,14.2,21.4,0.0,0.6,0.6,.061,-4.0,-0.7,-4.6,-0.3,
13,Antoine Wright,21,SG,39,0,370,0.7,.386,.185,.272,2.5,7.1,4.8,5.2,0.6,0.7,18.8,14.2,-0.8,0.3,-0.5,-0.062,-7.9,-0.9,-8.8,-0.6,
14,Boštjan Nachbar,25,SF,11,0,97,6.9,.436,.438,.250,4.8,8.6,6.6,8.9,1.7,0.0,10.1,19.2,-0.1,0.1,0.0,.016,-6.4,-1.7,-8.1,-0.1,
15,John Thomas,30,C,2,0,36,3.5,.167,.000,.000,22.5,9.9,16.3,0.0,1.5,2.2,25.0,10.5,-0.1,0.1,0.0,-0.027,-9.2,-4.9,-14.1,-0.1,
16,Linton Johnson,25,SF,9,0,35,4.4,.468,.000,.400,0.0,23.8,11.7,10.2,3.1,0.0,25.4,21.2,-0.1,0.1,0.0,-0.065,-9.0,1.8,-7.2,0.0,
17,Derrick Zimmerman,24,PG,2,0,32,5.5,.667,.000,.000,3.6,11.2,7.3,34.2,0.0,0.0,57.1,10.3,0.0,0.0,0.0,.004,-7.7,-2.7,-10.4,-0.1,
