Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Mike Miller,26,SG,70,69,2740,16.4,.588,.493,.201,2.3,14.2,8.2,18.7,1.0,0.5,14.0,21.1,4.6,0.3,4.8,.085,3.1,-1.7,1.4,2.3,
2,Hakim Warrick,24,PF,82,43,2152,15.9,.592,.011,.545,7.2,16.1,11.7,6.0,1.0,1.1,15.4,21.9,3.2,0.5,3.7,.082,-0.3,-1.7,-2.0,0.0,
3,Pau Gasol,26,C,59,59,2133,24.1,.593,.013,.466,8.3,24.2,16.3,17.7,0.7,4.5,13.5,25.3,5.4,1.5,6.9,.155,3.7,-0.1,3.6,3.0,
4,Rudy Gay,20,SF,78,43,2103,12.4,.497,.188,.275,5.3,14.5,9.9,8.0,1.7,2.7,14.1,21.3,-0.5,1.0,0.5,.011,-1.5,-0.7,-2.2,-0.1,ROY-3
5,Chucky Atkins,32,PG,75,23,2064,17.4,.580,.428,.435,1.0,7.0,4.0,27.9,1.2,0.1,13.0,21.4,5.1,-0.2,4.9,.114,2.9,-2.5,0.4,1.2,6MOY-8
6,Dahntay Jones,26,SG,78,25,1671,9.6,.542,.026,.377,3.4,7.6,5.5,6.6,1.2,1.0,14.6,17.0,0.7,0.0,0.7,.019,-3.0,-1.6,-4.6,-1.1,
7,Damon Stoudamire,33,PG,62,51,1501,12.6,.493,.400,.190,2.5,8.6,5.5,31.3,1.6,0.1,17.6,17.3,1.1,0.1,1.1,.036,0.1,-2.0,-1.9,0.1,
8,Stromile Swift,27,C,54,18,1029,14.2,.517,.014,.387,9.9,19.2,14.5,2.8,1.5,4.6,14.6,20.8,0.2,0.8,1.0,.047,-3.0,-0.9,-4.0,-0.5,
9,Lawrence Roberts,24,PF,54,18,969,13.4,.533,.010,.630,12.4,19.8,16.1,4.7,1.9,1.0,11.9,14.1,1.4,0.6,2.0,.099,-1.2,-0.5,-1.7,0.1,
10,Tarence Kinsey,22,SG,48,12,967,13.0,.532,.151,.322,3.6,8.4,6.0,7.0,2.8,0.1,11.7,18.4,0.6,0.3,0.9,.046,-1.7,-0.3,-2.0,0.0,
11,Alexander Johnson,23,PF,59,19,753,13.2,.588,.000,.698,7.9,20.8,14.4,3.6,1.7,3.5,17.5,16.1,0.7,0.6,1.3,.083,-3.2,-0.3,-3.5,-0.3,
12,Eddie Jones,35,SG,29,14,561,8.6,.485,.490,.225,3.0,10.0,6.5,9.1,2.0,0.3,12.2,15.2,0.0,0.1,0.2,.013,-2.6,-0.4,-3.1,-0.2,
13,Junior Harrington,26,PG,29,8,543,8.9,.483,.190,.336,2.6,12.3,7.5,25.4,2.0,0.7,24.9,17.4,-0.4,0.2,-0.2,-0.015,-4.0,-0.6,-4.6,-0.4,
14,Brian Cardinal,29,PF,28,1,313,17.7,.655,.518,.318,5.0,17.6,11.3,16.1,3.6,0.2,19.2,17.3,0.7,0.3,0.9,.144,1.7,2.5,4.2,0.5,
15,Jake Tsakalidis,27,C,23,7,258,6.5,.446,.000,.480,11.1,18.5,14.8,1.2,1.4,3.2,25.7,14.3,-0.4,0.2,-0.2,-0.039,-5.8,-0.5,-6.3,-0.3,
16,Kyle Lowry,20,PG,10,0,175,18.3,.556,.211,.737,8.2,13.0,10.6,27.3,4.1,0.4,19.3,16.1,0.4,0.2,0.5,.148,1.1,3.5,4.7,0.3,
17,Scott Padgett,30,PF,7,0,33,0.9,.127,.571,.286,18.1,14.5,16.3,0.0,1.6,0.0,11.3,12.1,-0.1,0.0,-0.1,-0.140,-5.3,-4.1,-9.5,-0.1,
18,Will Conroy,24,SG,3,0,17,4.2,,,,7.0,7.0,7.0,7.8,0.0,0.0,,0.0,0.0,0.0,0.0,.035,-1.7,-1.0,-2.7,0.0,
