Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Desmond Mason,29,SF,75,75,2575,10.8,.493,.000,.359,5.4,10.1,7.7,7.6,1.1,0.7,15.6,21.9,-1.2,1.8,0.6,.011,-2.7,-1.2,-3.9,-1.3,
2,Tyson Chandler,24,C,73,73,2525,17.0,.620,.002,.429,14.3,27.3,20.7,4.1,0.8,4.1,18.5,12.3,4.1,3.8,7.9,.150,-0.1,0.7,0.6,1.6,DPOY-9
3,Chris Paul,21,PG,64,64,2353,22.0,.537,.164,.410,2.6,11.3,6.9,41.3,2.7,0.1,13.5,23.1,6.2,2.6,8.8,.179,3.6,1.4,5.0,4.2,
4,Rasual Butler,27,SF,81,38,2223,10.8,.495,.461,.110,2.1,11.4,6.7,4.7,1.0,1.9,7.5,18.3,0.8,1.8,2.6,.056,-0.5,-0.4,-0.9,0.6,
5,David West,26,PF,52,52,1900,18.9,.532,.032,.287,7.5,18.5,12.9,10.9,1.2,1.6,9.9,23.8,3.1,2.0,5.2,.131,1.2,-0.3,0.9,1.4,
6,Jannero Pargo,27,PG,82,7,1710,13.4,.504,.302,.176,1.3,11.1,6.1,20.4,1.6,0.2,14.1,23.1,0.6,1.4,2.0,.056,-0.4,-0.4,-0.8,0.5,
7,Devin Brown,28,SG,58,49,1662,14.3,.538,.409,.279,3.7,13.9,8.7,14.8,1.4,0.4,12.7,19.6,2.1,1.5,3.5,.102,0.2,-0.1,0.1,0.9,
8,Bobby Jackson,33,SG,56,2,1330,15.1,.500,.319,.324,3.6,12.1,7.7,17.9,2.0,0.4,11.6,23.0,1.2,1.3,2.5,.088,0.2,0.3,0.6,0.8,
9,Marc Jackson,32,PF,56,25,1025,11.9,.471,.003,.265,6.8,15.0,10.8,9.6,1.1,0.5,13.0,22.2,-0.2,0.9,0.7,.033,-2.6,-1.1,-3.7,-0.4,
10,Linton Johnson,26,PF,54,0,720,14.0,.548,.158,.195,8.2,18.2,13.1,4.0,2.4,2.0,11.6,14.8,0.8,1.0,1.9,.125,-1.6,1.7,0.1,0.4,
11,Hilton Armstrong,22,C,56,5,634,12.2,.570,.000,.536,10.3,17.0,13.6,2.5,1.0,3.3,18.5,13.6,0.5,0.7,1.2,.091,-2.9,0.3,-2.6,-0.1,
12,Cedric Simmons,21,PF,43,4,534,8.0,.430,.000,.250,9.3,13.9,11.6,3.5,0.8,3.4,13.1,14.4,-0.3,0.5,0.3,.025,-4.6,0.2,-4.4,-0.3,
13,Peja Stojaković,29,SF,13,13,425,15.8,.543,.429,.194,2.9,12.0,7.3,4.7,1.0,0.7,8.2,24.9,0.6,0.3,0.9,.100,2.9,-0.4,2.5,0.5,
14,Brandon Bass,21,PF,21,3,162,7.2,.411,.023,.364,9.1,21.9,15.3,2.8,0.7,1.5,16.4,17.2,-0.2,0.2,0.0,-0.011,-4.5,-1.1,-5.6,-0.1,
15,Marcus Vinicius,22,SF,13,0,103,6.9,.608,.467,.467,2.2,10.3,6.2,7.1,1.0,0.8,24.9,10.7,0.0,0.1,0.1,.045,-3.4,0.1,-3.3,0.0,
