Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dwight Howard,21,C,4,4,167,15.3,.540,.000,.786,11.6,30.3,21.1,7.2,0.7,2.0,23.1,21.2,-0.1,0.1,0.0,.010,-0.5,-0.8,-1.3,0.0,
2,Hedo Türkoğlu,27,SF,4,4,156,13.1,.531,.180,.080,1.5,8.3,5.0,16.1,1.8,2.1,16.2,19.1,0.0,0.0,0.0,.013,0.1,1.1,1.2,0.1,
3,Grant Hill,34,SG,4,4,143,16.8,.571,.000,.868,1.7,16.5,9.2,17.9,0.8,0.6,16.0,21.1,0.2,0.0,0.2,.072,1.4,0.7,2.0,0.1,
4,Jameer Nelson,24,PG,4,4,129,13.2,.520,.280,.220,3.7,7.3,5.5,18.1,1.3,0.0,14.1,23.9,0.1,0.0,0.1,.028,-0.2,-0.6,-0.8,0.0,
5,Darko Miličić,21,PF,4,0,115,20.5,.591,.000,.500,10.5,8.2,9.3,6.4,0.5,2.9,4.6,18.2,0.4,0.0,0.3,.140,3.4,0.4,3.9,0.2,
6,Tony Battie,30,PF,4,4,87,3.9,.380,.000,.222,4.2,17.6,11.0,1.8,0.0,0.0,0.0,11.0,0.0,0.0,-0.1,-0.029,-4.7,-1.4,-6.2,-0.1,
7,Keyon Dooling,26,SG,4,0,65,16.9,.525,.120,.240,1.9,10.9,6.4,14.4,1.7,1.3,6.7,22.0,0.1,0.0,0.1,.080,0.2,1.8,2.0,0.1,
8,Trevor Ariza,21,SG,4,0,47,2.6,.310,.000,.250,12.8,10.0,11.4,17.4,1.2,0.0,18.4,22.3,-0.2,0.0,-0.2,-0.173,-6.7,-2.2,-8.9,-0.1,
9,Carlos Arroyo,27,PG,3,0,40,12.6,.403,.143,.143,6.0,8.8,7.5,25.3,1.4,0.0,6.3,19.1,0.0,0.0,0.0,.016,-0.6,-0.7,-1.3,0.0,
10,JJ Redick,22,PG,1,0,11,8.4,.750,.500,.000,0.0,0.0,0.0,29.0,0.0,0.0,33.3,13.2,0.0,0.0,0.0,.031,0.8,0.4,1.2,0.0,
